188	359
185	359
184	360
182	361
179	362
177	363
175	364
173	365
171	365
168	366
166	367
164	368
162	369
160	369
157	370
155	371
153	372
151	373
149	373
147	374
145	375
143	375
141	376
139	376
137	377
135	378
133	378
131	378
129	379
127	379
126	380
124	380
122	381
120	381
119	381
117	382
116	382
114	382
113	382
111	382
110	382
108	382
107	382
105	382
104	382
103	382
102	382
100	382
99	382
98	381
97	381
96	381
95	381
94	380
93	380
93	380
92	379
91	379
90	378
90	378
89	377
88	376
88	376
87	375
87	375
87	374
86	373
86	372
86	372
85	371
85	370
85	369
85	368
85	367
85	366
85	365
85	364
85	363
86	362
86	361
86	360
86	359
87	357
87	356
88	355
88	354
89	352
90	351
90	350
91	349
92	347
92	346
93	344
94	343
95	342
96	340
97	339
98	337
99	336
100	334
101	333
102	331
103	330
104	328
106	327
107	325
108	323
110	322
111	320
112	319
114	317
115	316
117	314
118	312
120	311
121	309
123	308
124	306
126	304
128	303
129	301
131	300
132	298
134	297
135	295
137	294
139	293
140	291
142	290
144	288
145	287
147	286
148	285
150	284
151	283
153	281
154	281
156	280
157	279
158	278
160	277
161	277
162	276
163	276
164	275
165	275
166	275
166	275
167	275
168	275
168	276
169	276
169	277
169	277
169	278
169	279
169	280
169	281
169	282
168	283
168	284
168	286
167	287
167	289
166	291
165	292
165	294
164	296
163	298
162	300
162	302
161	304
160	306
159	308
158	310
157	312
156	314
155	316
154	318
153	321
