401	429
398	427
397	425
395	423
392	421
390	419
388	416
386	414
383	412
381	409
378	407
376	404
373	402
372	399
368	396
365	393
363	391
360	388
357	385
354	383
352	380
349	376
346	374
343	371
340	368
337	365
334	362
331	359
328	356
325	353
321	350
319	347
315	343
312	340
309	337
305	334
302	330
299	327
295	324
292	320
289	317
285	314
282	310
279	307
275	304
272	300
269	297
265	293
262	290
258	287
255	283
251	280
248	276
244	273
241	269
238	266
234	262
231	259
227	256
224	252
220	249
217	245
214	242
210	238
207	235
203	232
200	228
197	225
193	222
190	218
187	215
183	212
180	208
177	205
174	202
170	199
167	195
164	192
161	189
158	186
155	183
152	180
148	177
145	174
142	171
139	168
137	165
134	162
131	160
128	156
125	153
122	151
120	148
117	145
114	143
112	140
109	137
107	135
104	132
100	130
99	128
97	125
94	123
92	121
90	118
88	116
86	114
84	112
82	110
80	108
78	106
76	104
74	102
72	101
71	99
69	97
67	95
66	94
64	92
63	91
61	89
60	87
58	86
57	85
56	84
55	83
54	81
53	80
52	79
51	79
50	78
49	77
48	76
48	76
47	75
46	74
46	74
46	73
45	73
45	73
45	72
44	72
44	72
44	72
44	72
44	72
44	72
44	72
45	73
45	73
45	73
46	74
46	74
47	75
47	75
48	76
49	77
49	77
50	78
51	79
52	80
53	81
54	82
55	83
56	84
58	85
59	87
60	88
62	89
63	91
65	92
66	94
68	96
69	97
71	99
73	101
75	102
76	104
78	106
80	108
