{196.0673775734434, -22.65836429069632}
{196.0700129686821, -22.662995487678753}
{196.0711365824107, -22.66497002130189}
{196.0572352028344, -22.64054103767193}
{196.0628453341031, -22.650399757389028}
{196.07016618690093, -22.663264739039}
{196.07221085252638, -22.666857843077274}
{196.0658685831178, -22.655712532303642}
{196.07278321568577, -22.667863660534064}
{196.06643682317826, -22.65671110421216}
{196.0732673958285, -22.6687145134091}
{196.07348929576207, -22.66910445958784}
{196.07365706700648, -22.669399285073357}
{196.07397276186165, -22.66995405767036}
{196.07426025146785, -22.67045926500215}
{196.0745814263312, -22.671023667652733}
{196.07463797332753, -22.671123038052546}
{196.0749355391454, -22.67164595237586}
{196.07512378455255, -22.671976757239076}
{196.07553181273664, -22.672693787788127}
{196.0757028066694, -22.672994276524634}

{196.0760084750541, -22.67353142954061}
{196.07647698736614, -22.674354749236247}
{196.0765918237019, -22.674556551866768}
{196.0766930764268, -22.674734483930663}
{196.07710299122954, -22.67545482984674}
{196.07741651043742, -22.676005779164736}


{196.07819237991862, -22.67736921958817}
{196.07845812952817, -22.67783622308414}
{196.07889122411967, -22.678597302991985}
{196.0793697993078, -22.67943830624438}
{196.07988392540187, -22.680341783332153}
{196.08051051600378, -22.681442895021977}
{196.0812867316067, -22.682806943687318}
{196.08247750484622, -22.684899497150518}
{196.0849980054061, -22.68932878897573}
{196.09001431348088, -22.698143979379683}
{196.1199761949733, -22.75079618619753}
{196.0529333379449, -22.632981342866934}
{196.0691959681674, -22.661559767425977}
{196.07335729770531, -22.668872498554762}
{196.07480227795892, -22.671411771636812}
{196.0761433678467, -22.673768477511608}
{196.0770007148021, -22.675275098823814}
{196.07719628025959, -22.675618767258538}
{196.07780549474535, -22.676689343787853}
{196.07829461917964, -22.677548885298318}
{196.0786707900741, -22.67820993282769}
{196.07899822410315, -22.678785334750255}
{196.07942815199573, -22.6795408497977}
{196.07966839182865, -22.67996302479936}
{196.07975031353794, -22.680106986345397}
{196.08020957363635, -22.680914047066544}
{196.0808871467956, -22.68210475073188}
{196.08076523299863, -22.681890510833338}
{196.08103139768903, -22.68235824375358}
{196.08151320345732, -22.683204924125217}
{196.08187115364694, -22.683833952292918}
{196.0819525201172, -22.68397693811375}
{196.08305512871257, -22.68591455928145}
{196.08212950530438, -22.684287955320148}
{196.0830472571654, -22.68590072656105}
{196.0841383912317, -22.687818183465062}
{196.0833786476506, -22.686483081189486}
{196.08274485110795, -22.685369306453648}
{196.08332813457702, -22.686394314240754}
{196.0827774559984, -22.685426603237097}
{196.08439460042223, -22.638332994711952}
{196.08686392171353, -22.64244333386707}
{196.08776788282552, -22.64394803346471}
{196.07317394546462, -22.619655515365345}
{196.07870032434255, -22.628854517361606}
{196.08597957815118, -22.640971288903344}
{196.08781459948176, -22.644025796249977}
{196.08101188952756, -22.632702261647932}
{196.08784726616855, -22.644080171985724}
{196.08103720480523, -22.632744400505015}
{196.08776821862506, -22.643948592424042}
{196.08769930898166, -22.64383388802875}
{196.08756863050752, -22.643616365565823}
{196.08758315201763, -22.643640537524266}
{196.08756165901323, -22.643604761079203}
{196.0875671760515, -22.64361394453315}
{196.08729370017096, -22.64315872688945}
{196.0872586953679, -22.64310045921357}
{196.08710289127714, -22.642841113596212}
{196.08716228607435, -22.64293997993711}
{196.08696925107589, -22.64261866115399}
{196.08675717363025, -22.64226564503099}
{196.08651346939877, -22.641859984152234}
{196.08658952638683, -22.641986585748004}
{196.08629202867795, -22.641491382274264}
{196.08596699939685, -22.640950350782955}
{196.0859410405698, -22.640907140697827}
{196.08580094628968, -22.640673945039204}
{196.085479074374, -22.64013816917936}
{196.08542255977488, -22.64004409710764}
{196.0851050102607, -22.639515516154464}
{196.08483956336778, -22.639073663260966}
{196.08472025516878, -22.63887506732953}
{196.08462157411418, -22.63871080656525}
{196.0845312901387, -22.63856052326235}
{196.08452431209562, -22.638548907874856}
{196.08463497116747, -22.638733106795204}
{196.085125430545, -22.639549506990072}
{196.0869082146737, -22.642517062259323}
{196.09113750776052, -22.64955698413355}
{196.12020712183482, -22.697945168115528}
{196.05244863753697, -22.585156948906203}
{196.06775401204735, -22.610633698471126}
{196.07092343429795, -22.615909399296974}
{196.07131793865528, -22.616566076381723}
{196.07153239909988, -22.616923059154985}
{196.07118184733085, -22.616339543892245}
{196.07008287739774, -22.61451023996074}
{196.0692865819156, -22.613184756512794}
{196.06825166603326, -22.611462074540007}
{196.06696907485272, -22.609327121600572}
{196.06548228575127, -22.60685226849794}
{196.06391408325044, -22.604241897719085}
