{-73.97784943419107, -1.048815377179257}	{-73.97784943419107, 1.0488153771792568}
{-73.97800244164345, 1.0488282077762934}	{-73.97800244164341, -1.04882820777629}
{-73.9777579543107, -1.0488090198549394}	{-73.97775795431048, 1.0488090198549225}
{-73.978157226947, 1.0488384560564192}	{-73.97815722694679, -1.0488384560564048}
{-73.97805256311051, -1.0488311837871254}	{-73.97805256311042, 1.0488311837871198}
{-73.97741802962577, -1.0487895101277955}	{-73.97741802962555, 1.048789510127781}
{-73.97775437180726, -1.0488104443704929}	{-73.97775437180705, 1.0488104443704795}
{-73.97747515821159, -1.0487939359986547}	{-73.97747515821136, 1.0487939359986416}
{-73.97765331528781, -1.0488039634658426}	{-73.9776533152878, 1.048803963465842}
{-73.978257189773, 1.0488363823063023}	{-73.97825718977292, -1.0488363823062976}
{-73.97721895686871, -1.0487831249121327}	{-73.97721895686864, 1.04878312491213}
{-73.97652173365992, 1.048748895612403}	{-73.97652173365987, -1.0487488956124}
{-73.9778485163858, 1.0488113284479317}	{-73.97784851638563, -1.0488113284479241}
{-73.97841179821397, -1.048836768734024}	{-73.97841179821319, 1.04883676873399}
{-73.97558259346667, 1.0487139697949848}	{-73.97558259346656, -1.0487139697949805}
{-73.97750350292492, -1.0487941896311268}	{-73.97750350292492, 1.048794189631127}
{-73.97848380391706, -1.04883362195365}	{-73.97848380391669, 1.0488336219536354}	{-73.97848380391659, 1.0488336219536318}	{-73.97848380391645, -1.048833621953627}
{-73.97637949479244, -1.0487520093764315}	{-73.976379494792, 1.0487520093764147}
{-73.97664378051986, 1.0487619013775522}	{-73.97664378051952, -1.0487619013775398}
{-73.97532218183952, 1.0487141205584423}	{-73.9753221818394, -1.048714120558439}
{-73.9769716682709, -1.0487717710650315}	{-73.97697166827062, 1.0487717710650222}
{-73.97829669185599, -1.0488165746702562}	{-73.9782966918558, 1.0488165746702496}
{-73.97462229058858, -1.0486962892046638}	{-73.9746222905879, 1.0486962892046414}
{-73.97777789749556, -1.0487963675178864}	{-73.97777789749522, 1.0487963675178755}
{-73.97638531820951, -1.0487535539339408}	{-73.97638531820931, 1.0487535539339354}
{-73.97609578332785, 1.048744919863005}	{-73.97609578332747, -1.0487449198629935}
{-73.97643013978757, -1.0487545963631895}	{-73.97643013978694, 1.0487545963631726}
{-73.97288128917275, 1.048654870821897}	{-73.97288128917161, -1.0486548708218666}
{-73.97857960470445, -1.0488104297819771}	{-73.97857960470445, 1.0488104297819771}
{-73.97353301118049, 1.0486765337172839}	{-73.97353301117992, -1.0486765337172688}
{-73.97471862848876, 1.0487071187382453}	{-73.97471862848829, -1.0487071187382333}
{-73.97641370602682, -1.0487496524896487}	{-73.9764137060254, 1.048749652489614}
{-73.97610980932696, -1.0487422324559184}	{-73.97610980932606, 1.0487422324558977}
{-73.970738209357, -1.0486145735391716}	{-73.97073820935675, 1.0486145735391657}
{-73.97551165366487, 1.0487250317023957}	{-73.97551165366431, -1.0487250317023837}
{-73.97352146434318, -1.0486801762986997}	{-73.9735214643431, 1.0486801762986973}
{-73.97558700367071, -1.04872553083561}	{-73.97558700366976, 1.048725530835589}
{-73.97303274953018, -1.048670876313222}	{-73.97303274952937, 1.0486708763132047}
{-73.97748469589435, 1.048763728940403}	{-73.97748469589402, -1.0487637289403957}
{-73.9741204068322, 1.048695320549932}	{-73.9741204068316, -1.04869532054992}
{-73.96909629465088, -1.0485957101128545}	{-73.96909629465063, 1.0485957101128494}
{-73.97525153426712, -1.048714730853664}	{-73.97525153426682, 1.0487147308536584}
{-73.97021384189023, 1.0486197123129617}	{-73.97021384188956, -1.0486197123129497}
{-73.97285847366598, 1.0486683744162109}	{-73.97285847366491, -1.0486683744161915}
{-73.97187552791229, 1.0486507275391204}	{-73.97187552791182, -1.0486507275391128}
{-73.97452496132496, -1.0486971414837405}	{-73.97452496132435, 1.0486971414837298}
{-73.96830209815613, 1.048590760856542}	{-73.96830209815519, -1.0485907608565257}
{-73.97440297243712, 1.0486925453315863}	{-73.97440297243695, -1.0486925453315836}
{-73.97299538190157, -1.0486696250775414}	{-73.9729953819014, 1.048669625077539}
{-73.96425086347253, -1.0485306629461528}	{-73.96425086347203, 1.048530662946145}
{-73.97110784043655, 1.0486370146843325}	{-73.97110784043531, -1.048637014684314}
{-73.97216259013763, -1.0486529824473612}	{-73.97216259013689, 1.0486529824473503}
{-73.9676623845458, -1.048586491952411}	{-73.96766238454578, 1.0485864919524106}
{-73.97414165560782, 1.0486799222011158}	{-73.9741416556065, -1.0486799222010972}
{-73.96805570976342, -1.0485942794778966}	{-73.96805570976294, 1.0485942794778897}
{-73.96615486866541, -1.048568179375417}	{-73.96615486866371, 1.0485681793753938}
{-73.96932360939736, -1.048610632365885}	{-73.9693236093965, 1.048610632365873}
{-73.96960169549715, 1.048614267173076}	{-73.9696016954971, -1.0486142671730752}
{-73.96735334599937, -1.0485856015278772}	{-73.96735334599873, 1.0485856015278694}
{-73.96295839323838, -1.048530955941586}	{-73.96295839323719, 1.0485309559415714}
{-73.96620466447355, -1.0485703135281013}	{-73.96620466447226, 1.0485703135280857}
{-73.96847609609837, -1.0485971621024757}	{-73.9684760960973, 1.0485971621024626}
{-73.96045861545554, -1.0485048026703163}	{-73.96045861545515, 1.0485048026703114}
{-73.97176777370484, -1.0486317489131727}	{-73.97176777370433, 1.0486317489131673}
{-73.96362001699303, -1.0485426561329125}	{-73.96362001699268, 1.0485426561329083}
{-73.9558962329397, -1.0484604295398432}	{-73.95589623293895, 1.048460429539835}
{-73.96984145620945, 1.0486049524253538}	{-73.96984145620928, -1.0486049524253518}
{-73.964747867607, 1.048553583044445}	{-73.96474786760479, -1.0485535830444233}
{-73.96149746497451, -1.0485217039592303}	{-73.96149746497181, 1.0485217039592043}
{-73.96057383902689, -1.0485128982255878}	{-73.9605738390263, 1.0485128982255822}
{-73.96246318126151, -1.048530399976504}	{-73.96246318125999, 1.04853039997649}
{-73.95653241912424, -1.0484770537249988}	{-73.95653241912387, 1.0484770537249957}
{-73.9653318754904, -1.0485538680998483}	{-73.96533187548808, 1.0485538680998279}
{-73.95564427709849, -1.0484718564727065}	{-73.95564427709444, 1.0484718564726725}
{-73.96162341735635, 1.0485209053242335}	{-73.96162341735577, -1.0485209053242295}
{-73.94931326970028, -1.0484231344616062}	{-73.94931326969932, 1.0484231344615986}
{-73.96532344948736, 1.0485461566824195}	{-73.96532344948545, -1.0485461566824053}
{-73.95173690812045, -1.0484452535285516}	{-73.95173690811869, 1.0484452535285398}
{-73.9556538797727, 1.0484733335891658}	{-73.95565387976954, -1.0484733335891434}
{-73.9538572170173, -1.0484609128272353}	{-73.95385721701481, 1.0484609128272186}
{-73.9585779205884, 1.0484923448108303}	{-73.95857792058807, -1.0484923448108274}
{-73.9580942086959, 1.048489247161737}	{-73.95809420869358, -1.0484892471617218}
{-73.95256157182094, -1.048455231393989}	{-73.95256157182088, 1.0484552313939888}
{-73.95444123559123, 1.0484663076775744}	{-73.95444123558975, -1.0484663076775669}
{-73.9518045360697, 1.0484514439947497}	{-73.95180453606652, -1.0484514439947317}
{-73.94483370242614, 1.048413941524044}	{-73.94483370242341, -1.0484139415240292}
{-73.9585546402955, -1.0484842496496152}	{-73.9585546402922, 1.048484249649599}
{-73.94373514697405, -1.048412135830793}	{-73.94373514697293, 1.0484121358307874}
{-73.95010572285666, -1.0484414771226735}	{-73.95010572285524, 1.0484414771226673}
{-73.95319654191951, 1.0484549113281108}	{-73.95319654191816, -1.0484549113281054}
{-73.94075278074462, -1.0484041100929364}	{-73.9407527807432, 1.0484041100929302}
{-73.9502560042264, -1.0484403871162338}	{-73.95025600422584, 1.048440387116232}
{-73.94474855572861, 1.0484208307514673}	{-73.9447485557269, -1.0484208307514606}
{-73.94920499529644, 1.0484354520724946}	{-73.94920499529545, -1.0484354520724917}
{-73.93914178469772, 1.0484051903424247}	{-73.93914178469687, -1.0484051903424227}
{-73.95170658414207, -1.0484395104806314}	{-73.95170658414123, 1.04843951048063}
{-73.93805496621674, -1.048406045327895}	{-73.93805496621563, 1.0484060453278923}
{-73.94723743931966, -1.0484259404233904}	{-73.94723743931928, 1.0484259404233895}
{-73.94299809882108, -1.048417973989496}	{-73.94299809881508, 1.0484179739894863}
{-73.93767884754152, 1.0484095479375664}	{-73.93767884754027, -1.0484095479375652}
{-73.94339528009567, 1.0484168969529422}	{-73.94339528009405, -1.0484168969529415}
{-73.93659328763768, -1.0484102239684332}	{-73.93659328763322, 1.0484102239684288}
{-73.94102746357254, 1.048413194698034}	{-73.94102746356792, -1.0484131946980308}
{-73.94512006947694, 1.0484146454497194}	{-73.94512006948055, -1.0484146454497185}
{-73.93765001591322, 1.0484144286992938}	{-73.93765001591628, -1.0484144286992934}
{-73.9303520731782, -1.0484166702723388}	{-73.93035207317955, 1.0484166702723385}
{-73.94562826726431, -1.0484067943260371}	{-73.94562826726388, 1.048406794326037}
{-73.92826193206527, 1.048424120903371}	{-73.92826193206653, -1.048424120903371}
{-73.93334157858716, -1.0484172039045179}	{-73.93334157858743, 1.048417203904516}
{-73.93909307338593, -1.0484072513673053}	{-73.93909307338757, 1.0484072513673022}
{-73.93524257108841, 1.0484153889940848}	{-73.93524257108955, -1.0484153889940824}
{-73.93255200848188, 1.048422146936331}	{-73.9325520084834, -1.048422146936325}
{-73.9311478475409, -1.0484262517714436}	{-73.93114784754208, 1.0484262517714404}
{-73.93114349991562, -1.0484262663327648}	{-73.93114349991599, 1.0484262663327628}
{-73.93263888348312, 1.048420597943373}	{-73.93263888348451, -1.0484205979433665}
{-73.93572007362083, -1.048407507324597}	{-73.93572007362255, 1.0484075073245893}
{-73.931311231405, 1.0484283532563963}	{-73.93131123140594, -1.0484283532563907}
{-73.92890463110565, -1.0484409432731376}	{-73.92890463110639, 1.0484409432731336}
{-73.92854970624418, 1.048442986349218}	{-73.92854970624451, -1.0484429863492153}
{-73.93028020267839, -1.0484320759070869}	{-73.93028020267982, 1.048432075907078}
{-73.92592244674323, -1.0484620711072061}	{-73.9259224467444, 1.0484620711071966}
{-73.93192700157293, 1.048417097664109}	{-73.93192700157306, -1.0484170976641065}
{-73.92464221953509, 1.048476338884861}	{-73.92464221953554, -1.0484763388848557}
{-73.92749984374704, -1.0484511521982944}	{-73.9274998437474, 1.0484511521982907}
{-73.93269818272735, 1.0484016197067032}	{-73.93269818272859, -1.0484016197066914}
{-73.92634805357805, -1.0484669983005845}	{-73.9263480535797, 1.0484669983005674}
{-73.92287318838237, -1.0485056439068892}	{-73.92287318838332, 1.0485056439068783}
{-73.92856366929013, 1.048437387170428}	{-73.92856366929055, -1.0484373871704205}
{-73.92435421792064, -1.0484918308966067}	{-73.92435421792173, 1.0484918308965943}
{-73.928885271564, -1.0484286394471931}	{-73.92888527156587, 1.0484286394471687}
{-73.92465850275391, -1.0484922188254207}	{-73.92465850275427, 1.0484922188254144}
{-73.9233607445001, 1.0485132950488494}	{-73.92336074450078, -1.0485132950488378}
{-73.92481286807423, 1.0484878250207608}	{-73.9248128680751, -1.0484878250207454}
{-73.92404393518999, -1.04850240677568}	{-73.92404393519011, 1.048502406775679}
{-73.92595660555908, -1.048463136644589}	{-73.92595660555932, 1.0484631366445856}
{-73.92183333609691, -1.0485549958092737}	{-73.92183333609711, 1.0485549958092693}
{-73.92455449419255, 1.0484890758363052}	{-73.92455449419383, -1.048489075836273}
{-73.92211666090832, 1.0485534557086507}	{-73.92211666090935, -1.0485534557086205}
{-73.92231472909263, -1.0485477331069046}	{-73.92231472909306, 1.0485477331068935}
{-73.92484745574002, -1.048467424422655}	{-73.92484745574052, 1.048467424422637}
{-73.92352044485051, 1.0485138289841471}	{-73.92352044485102, -1.0485138289841303}
{-73.92180786774938, -1.0485802979678853}	{-73.9218078677494, 1.0485802979678835}
{-73.92233584758785, -1.0485574067690253}	{-73.92233584758824, 1.0485574067690062}
{-73.92254444968829, -1.0485472240339022}	{-73.92254444968884, 1.0485472240338787}
{-73.92257701387271, -1.0485454156179317}	{-73.9225770138728, 1.048545415617927}
{-73.92254681892626, 1.0485473484533199}	{-73.92254681892645, -1.0485473484533125}
{-73.92253674559076, -1.048548104400569}	{-73.9225367455911, 1.0485481044005354}
{-73.92259908408604, -1.0485424943157653}	{-73.92259908408607, 1.048542494315761}
{-73.92175621600389, 1.0486364912804231}	{-73.9217562160039, -1.0486364912804191}
{-73.92201337885514, 1.048599203342313}	{-73.92201337885515, -1.048599203342313}
{-73.9223114002697, -1.0485384546878602}	{-73.9223114002697, 1.048538454687841}
{-73.92224338819196, -1.0485613338668518}	{-73.92224338819202, 1.0485613338668105}
{-73.9221363186947, -1.0486598345800255}	{-73.92213631869474, 1.0486598345800107}
{-73.922090219211, 1.0485973291938047}	{-73.92209021921097, -1.0485973291937798}
{-73.9220905773923, 1.0485974722521216}	{-73.92209057739227, -1.0485974722521136}
{-73.92231656761412, -1.0486509186636468}	{-73.92231656761409, 1.0486509186636368}
{-73.92153549136738, -1.0485185224433557}	{-73.92153549136708, 1.0485185224433284}
{-73.92255692319898, -1.048654139356606}	{-73.9225569231987, 1.0486541393565698}
{-73.92295163253364, 1.0486973609127361}	{-73.92295163253335, -1.0486973609127057}
{-73.92233872796352, -1.0486399945260068}	{-73.92233872796334, 1.0486399945259943}
{-73.92170693448553, 1.0485881859722312}	{-73.92170693448521, -1.0485881859722046}
{-73.9224741901565, 1.0486442877740605}	{-73.92247419015617, -1.0486442877740367}
{-73.92299057669621, -1.0486784214908758}	{-73.92299057669524, 1.0486784214908158}
{-73.92297984515366, -1.0486777729335812}	{-73.92297984515348, 1.048677772933568}
{-73.92210799962318, -1.0486291540954054}	{-73.9221079996229, 1.0486291540953931}
{-73.92215671866148, -1.0486316797454187}	{-73.92215671866083, 1.048631679745382}
{-73.9228866938009, 1.0486670750798075}	{-73.92288669380062, -1.048667075079792}
{-73.92396906975718, -1.0487164235958166}	{-73.92396906975713, 1.0487164235958142}
{-73.92241216943647, 1.048649359782768}	{-73.92241216943582, -1.0486493597827415}
{-73.92293811791244, 1.0486708508245268}	{-73.92293811791238, -1.0486708508245244}
{-73.92510836752591, -1.0487552525680488}	{-73.92510836752548, 1.0487552525680328}
{-73.92251932023483, 1.0486591087782733}	{-73.92251932023433, -1.0486591087782553}
{-73.92334689757459, 1.048688536340136}	{-73.92334689757291, -1.0486885363400775}
{-73.92378384769174, -1.0487034492646803}	{-73.92378384769083, 1.0487034492646476}
{-73.9229160612249, -1.0486749575344687}	{-73.92291606122284, 1.0486749575344014}
{-73.92631235641987, 1.0487824366446175}	{-73.92631235641967, -1.0487824366446121}
{-73.92273447167427, 1.048673096745233}	{-73.92273447167415, -1.0486730967452282}
{-73.92467658830851, 1.0487305084231637}	{-73.92467658830708, -1.0487305084231207}
{-73.92366090915625, -1.0487014222643543}	{-73.9236609091545, 1.0487014222643052}
{-73.9252434392892, 1.048745386278695}	{-73.92524343928694, -1.0487453862786345}
{-73.92392056850602, 1.0487096888211134}	{-73.92392056850566, -1.0487096888211036}
{-73.92504328980665, 1.0487391523845528}	{-73.92504328980652, -1.0487391523845495}
{-73.92621979140594, -1.0487692103120154}	{-73.92621979140515, 1.0487692103119937}
{-73.92477430169386, 1.0487332193746675}	{-73.92477430169288, -1.0487332193746426}
{-73.92536164849858, 1.04874748528118}	{-73.92536164849732, -1.0487474852811494}
{-73.92446124728181, -1.0487261328574755}	{-73.92446124728038, 1.0487261328574424}
{-73.92587554850648, 1.0487589056848057}	{-73.92587554850599, -1.048758905684794}
{-73.92883057721095, 1.0488258652777118}	{-73.92883057721032, -1.0488258652776983}
{-73.92413944241932, 1.0487218375888383}	{-73.92413944241864, -1.048721837588823}
{-73.92547864776742, -1.0487509206747132}	{-73.92547864776523, 1.0487509206746664}
{-73.92934416446597, -1.048833176784475}	{-73.92934416446388, 1.0488331767844312}
{-73.92350105349969, 1.0487112610966745}	{-73.92350105349766, -1.0487112610966327}
{-73.92948311552811, -1.0488337121409372}	{-73.92948311552692, 1.048833712140913}
{-73.92742518627757, -1.0487923637239165}	{-73.92742518627456, 1.048792363723857}
{-73.926804179622, -1.0487801095642713}	{-73.92680417961988, 1.0487801095642302}
{-73.92593911277162, 1.0487633369235574}	{-73.92593911277086, -1.0487633369235432}
{-73.92685738540331, -1.0487808387175301}	{-73.92685738540295, 1.048780838717523}
{-73.92649634963237, -1.0487740715357834}	{-73.9264963496315, 1.0487740715357683}
{-73.92977445299996, -1.048834522230175}	{-73.92977445299968, 1.0488345222301703}
{-73.92894240991825, -1.048819420812613}	{-73.92894240991781, 1.048819420812605}
{-73.92565698820115, 1.0487607078681176}	{-73.92565698820083, -1.0487607078681118}
{-73.93057955148616, 1.048847353843933}	{-73.93057955148541, -1.0488473538439198}
{-73.92863053070063, 1.0488135525431128}	{-73.9286305306996, -1.0488135525430955}
{-73.92840796225322, 1.0488097480868421}	{-73.92840796225033, -1.0488097480867935}
