{-93.05827752942201, -2.558804050354751}	{-93.05827752942143, 2.558804050354721}
{-93.05832825792663, -2.5588066260724416}	{-93.05832825792649, 2.558806626072435}
{-93.05624944321494, 2.558704430196742}	{-93.05624944321396, -2.5587044301966935}
{-93.05853251008578, 2.5588131717024325}	{-93.05853251008486, -2.5588131717023885}
{-93.05649268988613, -2.5587189832292148}	{-93.05649268988545, 2.558718983229184}
{-93.05659120512607, -2.5587233957982685}	{-93.05659120512564, 2.558723395798249}
{-93.0560898638849, 2.5587016017887545}	{-93.05608986388472, -2.5587016017887465}
{-93.0568086726441, -2.558731944240361}	{-93.05680867264377, 2.558731944240348}
{-93.0557314228763, 2.558687767875777}	{-93.05573142287622, -2.5586877678757722}
{-93.05646520906353, -2.5587170139388955}	{-93.05646520906235, 2.558717013938849}
{-93.05529409981338, -2.5586716309014563}	{-93.0552940998115, 2.5586716309013853}
{-93.0523432661938, -2.5585604069450194}	{-93.05234326619306, 2.5585604069449923}
{-93.05713578754383, -2.5587361692308455}	{-93.05713578754359, 2.5587361692308366}
{-93.05248608061487, 2.558570199093501}	{-93.05248608061262, -2.558570199093423}
{-93.0544579382223, 2.5586387234037837}	{-93.05445793822209, -2.5586387234037766}
{-93.05138840327342, 2.5585348464086763}	{-93.05138840327321, -2.5585348464086692}
{-93.05582997949877, -2.558681254375806}	{-93.05582997949871, 2.558681254375805}
{-93.05056194913226, -2.5585120762229536}	{-93.05056194913178, 2.558512076222937}
{-93.05352667792772, 2.558604850323007}	{-93.05352667792555, -2.558604850322939}
{-93.04828772449515, -2.558445078697982}	{-93.04828772449454, 2.558445078697965}
{-93.05431379888671, 2.5586242068194447}	{-93.05431379888653, -2.5586242068194394}
{-93.05005166844377, 2.558500703744868}	{-93.05005166844252, -2.558500703744832}
{-93.04860533764516, 2.5584598467738378}	{-93.0486053376449, -2.558459846773828}
{-93.05023786024496, -2.5585048079379966}	{-93.05023786024485, 2.5585048079379913}
{-93.04446501340189, -2.558349799574785}	{-93.04446501340149, 2.558349799574773}
{-93.04788912030712, -2.558439439951607}	{-93.047889120307, 2.558439439951605}
{-93.0480242038962, 2.558442887813392}	{-93.04802420389436, -2.5584428878133445}
