{-224.4787405772954, -8.599429964612453}	{-224.4787405772525, 8.599429964610662}
{-224.47626785255036, -8.599327769417886}	{-224.47626785254653, 8.599327769417727}
{-224.48130313786106, 8.599534865495217}	{-224.48130313785907, -8.599534865495139}
{-224.4599432826714, 8.598660648942335}	{-224.4599432826395, -8.598660648941038}
{-224.44606285406374, -8.598095355065242}	{-224.44606285397884, 8.598095355061787}
{-224.46290059649937, -8.598777660788388}	{-224.46290059649488, 8.598777660788192}
{-224.44646521108282, -8.598115028436693}	{-224.44646521106893, 8.598115028436128}
{-224.43521566588456, 8.597663798629947}	{-224.43521566585014, -8.597663798628577}
{-224.41286344338704, -8.596771884959809}	{-224.41286344334412, 8.596771884958113}
{-224.43098632421012, 8.597491225520907}	{-224.43098632419344, -8.597491225520244}
{-224.3961986644786, -8.596117807786856}	{-224.39619866444372, 8.596117807785486}
{-224.4169148652335, -8.596931235678007}	{-224.41691486517126, 8.596931235675571}
{-224.4014109614182, 8.596325838594783}	{-224.40141096140124, -8.596325838594131}
{-224.38410122340824, -8.595653736136777}	{-224.38410122338377, 8.595653736135844}
{-224.3611285430811, -8.594766878854141}	{-224.36112854302908, 8.594766878852132}
{-224.37649069220475, -8.595356453747499}	{-224.37649069216667, 8.595356453746039}
{-224.34317061366787, -8.594085348854598}	{-224.34317061364257, 8.59408534885363}
{-224.35394728428273, -8.594493937718156}	{-224.3539472842482, 8.594493937716848}
{-224.3617406421235, 8.594787559259316}	{-224.36174064212312, -8.59478755925928}
{-224.31363742783233, 8.592986931399407}	{-224.3136374277972, -8.592986931398098}
{-224.30738725337264, 8.59275452518256}	{-224.30738725334643, -8.592754525181572}
{-224.31314975247338, -8.592967333287474}	{-224.31314975237416, 8.592967333283811}
{-224.31515577883826, 8.593040893249974}	{-224.31515577883115, -8.593040893249752}
{-224.27866413020973, 8.591712524470285}	{-224.2786641301395, -8.591712524467736}
{-224.26863973418432, 8.591350375637779}	{-224.2686397341666, -8.59135037563716}
{-224.26382922881004, -8.591177951185545}	{-224.26382922871133, 8.591177951182043}
{-224.23059493656112, -8.589996458995254}	{-224.23059493649046, 8.589996458992744}
{-224.24320148801476, 8.590440805984738}	{-224.2432014878598, -8.590440805979322}
{-224.2129421868807, -8.589383762555734}	{-224.21294218687422, 8.589383762555494}
{-224.1991089162713, -8.588905057419565}	{-224.19910891625906, 8.588905057419124}
{-224.21784545845082, 8.589547050275943}	{-224.21784545837284, -8.589547050273298}
{-224.1623153960028, -8.587664210037454}	{-224.16231539599622, 8.587664210037227}
{-224.1929149973958, -8.58869025680531}	{-224.19291499736534, 8.588690256804293}
{-224.15851381787914, -8.587550330708925}	{-224.15851381784228, 8.58755033070765}
{-224.13345176795386, -8.586730367481154}	{-224.13345176793004, 8.58673036748039}
{-224.11375846238843, 8.58609481499433}	{-224.11375846238812, -8.586094814994322}
{-224.12980610746877, 8.586605108624669}	{-224.12980610740223, -8.586605108622562}
{-224.10064334012674, -8.585692594673482}	{-224.1006433400264, 8.585692594670334}
{-224.08732865971413, 8.585283279341416}	{-224.0873286596344, -8.585283279338928}
{-224.07815036808722, 8.58500658105605}	{-224.07815036802708, -8.585006581054248}
{-224.0935782684849, 8.58546168581567}	{-224.0935782684747, -8.585461685815364}
{-224.05615408423117, 8.584384422582232}	{-224.0561540841925, -8.58438442258112}
{-224.01641334166084, -8.58327199619459}	{-224.01641334161633, 8.583271996193417}
{-224.04767488356302, 8.584119428266792}	{-224.0476748835254, -8.58411942826585}
{-224.02154696820278, 8.583437241879066}	{-224.02154696814026, -8.583437241877421}
{-224.00732442432377, -8.583082164193101}	{-224.00732442426602, 8.583082164191595}
{-224.01498337469155, 8.583263248174736}	{-224.0149833746536, -8.583263248173711}
{-223.98567677639468, 8.582615970562484}	{-223.9856767763195, -8.582615970560791}
{-223.99425264586952, -8.58278938328894}	{-223.99425264585847, 8.582789383288635}
{-223.969665569969, 8.58234838479767}	{-223.96966556996094, -8.582348384797529}
{-223.97371938369105, -8.582409434365163}	{-223.97371938366896, 8.582409434364779}
{-223.96388486902006, 8.582298142879617}	{-223.96388486899576, -8.58229814287907}
{-223.9607860638058, 8.5822788884398}	{-223.96078606379368, -8.582278888439763}
{-223.95683434476305, 8.582283548350029}	{-223.95683434476467, -8.582283548349917}
{-223.95568639499035, 8.582298367434106}	{-223.95568639498222, -8.582298367434023}
{-223.95313121092087, 8.582386520742514}	{-223.95313121093912, -8.582386520741244}
{-223.95188361587333, 8.582496016761016}	{-223.95188361587128, -8.582496016760139}
{-223.95115813068503, -8.582814898022466}	{-223.9511581306833, 8.58281489802132}
{-223.95117816588964, -8.582820939539296}	{-223.95117816588055, 8.582820939537653}
{-223.95002631680006, 8.582658786774385}	{-223.95002631677357, -8.582658786770951}
{-223.9551207025537, -8.583175803367377}	{-223.95512070255717, 8.583175803367341}
{-223.96015670538668, 8.583597307349924}	{-223.96015670537327, -8.583597307349018}
{-223.96924875372542, 8.584265876581297}	{-223.96924875366852, -8.584265876577724}
{-223.96592613269382, -8.584043442499546}	{-223.965926132667, 8.5840434424972}
{-223.9660369546035, 8.584050348398756}	{-223.96603695453598, -8.58405034839453}
{-223.97768572309175, 8.584736054102768}	{-223.9776857230835, -8.584736054102063}
