{-71.32161732790956, 0.7364036788810212}	{-71.32161732790955, -0.736403678881021}
{-71.32180029182469, -0.7364233462743528}	{-71.3218002918246, 0.7364233462743438}
{-71.3217584548105, -0.7364191711778422}	{-71.32175845481036, 0.7364191711778287}
{-71.32194695297106, -0.7364367177364121}	{-71.32194695297099, 0.7364367177364062}
{-71.32158502127058, 0.7364051612630308}	{-71.32158502127028, -0.736405161263004}
{-71.3221989149748, -0.736455477471264}	{-71.32219891497463, 0.7364554774712504}
{-71.32145523330581, -0.7363979918414311}	{-71.32145523330563, 0.7363979918414179}
{-71.32140062735944, -0.73639399948923}	{-71.32140062735921, 0.7363939994892141}
{-71.32130540268507, 0.736387397537391}	{-71.32130540268504, -0.7363873975373879}
{-71.32195446776865, 0.7364301690347954}	{-71.3219544677684, -0.7364301690347799}
{-71.32087971285056, 0.7363627092881543}	{-71.32087971285044, -0.7363627092881472}
{-71.32246801359605, 0.7364578508617541}	{-71.32246801359584, -0.7364578508617419}
{-71.32055325770135, -0.7363481976890187}	{-71.32055325770116, 0.736348197689008}
{-71.32124496838702, -0.7363861300963594}	{-71.32124496838686, 0.736386130096351}
{-71.32193851593759, -0.7364226032329987}	{-71.32193851593709, 0.736422603232974}
{-71.32151427458508, 0.7364011782414505}	{-71.32151427458501, -0.7364011782414464}
{-71.32138772501185, 0.7363950330851802}	{-71.32138772501179, -0.7363950330851773}
{-71.32022955908596, 0.736340892907119}	{-71.3202295590857, -0.736340892907107}
{-71.32233631074237, 0.7364358018536571}	{-71.32233631074229, -0.7364358018536534}
{-71.32030538920124, 0.7363475398506053}	{-71.32030538920064, -0.7363475398505802}
{-71.31958787266701, -0.7363174293640378}	{-71.31958787266659, 0.7363174293640208}
{-71.32103828985353, -0.7363762542064437}	{-71.32103828985348, 0.7363762542064417}
{-71.32237039401905, 0.7364285110482085}	{-71.32237039401888, -0.7364285110482022}
{-71.3203829237602, 0.7363530393982936}	{-71.32038292376019, -0.736353039398292}
{-71.32020780010808, 0.7363465973520603}	{-71.32020780010791, -0.7363465973520554}	{-71.32020780010791, 0.7363465973520547}	{-71.32020780010708, -0.736346597352025}
{-71.32119356901093, 0.7363817486963523}	{-71.32119356901036, -0.7363817486963318}
{-71.31884811303603, -0.736300622531388}	{-71.31884811303568, 0.7363006225313762}
{-71.32182961681926, 0.7364007137846497}	{-71.32182961681912, -0.7364007137846451}
{-71.31785342979046, -0.7362710855653802}	{-71.31785342979036, 0.7362710855653766}
{-71.31937132303575, 0.7363191671328122}	{-71.31937132303558, -0.736319167132807}
{-71.32063856559084, -0.7363581897765967}	{-71.32063856559046, 0.7363581897765848}
{-71.32313275758507, 0.7364328881331993}	{-71.32313275758504, -0.7364328881331984}
{-71.31969470728767, 0.736332701504056}	{-71.3196947072871, -0.7363327015040402}
{-71.31551316110729, -0.7362140886832802}	{-71.31551316110729, 0.7362140886832798}
{-71.32119326217646, 0.7363709880002589}	{-71.32119326217617, -0.7363709880002506}
{-71.319528133158, -0.7363261812827819}	{-71.31952813315763, 0.7363261812827719}
{-71.32094052045608, 0.7363632177219784}	{-71.32094052045592, -0.7363632177219746}
{-71.31638371661307, -0.7362467366694992}	{-71.31638371661272, 0.73624673666949}
{-71.31707550019333, -0.7362639798689875}	{-71.31707550019276, 0.7362639798689736}
{-71.3189387554246, 0.7363092802412733}	{-71.31893875542448, -0.7363092802412703}
{-71.32300347005214, -0.736405698926295}	{-71.3230034700519, 0.7364056989262894}
{-71.3184489151566, -0.736300264807188}	{-71.31844891515631, 0.7363002648071819}
{-71.31757512470017, -0.736280520420996}	{-71.31757512469937, 0.7362805204209779}
{-71.31521077044347, -0.7362283593672205}	{-71.31521077044333, 0.7362283593672171}
{-71.31850759254189, 0.7362993857700292}	{-71.31850759254019, -0.7362993857699929}
{-71.31528824607597, 0.7362316432241068}	{-71.31528824607533, -0.7362316432240936}
{-71.3194852470331, 0.7363179169767773}	{-71.31948524703243, -0.7363179169767637}
{-71.31821836795191, -0.7362924726572663}	{-71.31821836795179, 0.7362924726572637}
{-71.31896147450882, -0.7363070567476315}	{-71.31896147450833, 0.7363070567476219}
{-71.31502003802743, -0.7362314595388271}	{-71.3150200380274, 0.7362314595388261}
{-71.314302803211, -0.7362180138706693}	{-71.31430280321037, 0.7362180138706576}
{-71.31764434372364, 0.7362792481293332}	{-71.31764434372165, -0.7362792481292968}
{-71.31782998083618, -0.7362825737929107}	{-71.31782998083528, 0.7362825737928945}
{-71.31515259585538, 0.7362356806541803}	{-71.31515259585518, -0.7362356806541771}
{-71.30992085195261, 0.7361460939728638}	{-71.30992085195183, -0.7361460939728506}
{-71.31980986843712, -0.7363116698149624}	{-71.31980986843709, 0.736311669814962}
{-71.31085693071938, 0.7361650947076865}	{-71.31085693071905, -0.7361650947076813}
{-71.31852904793982, -0.7362879134567194}	{-71.31852904793932, 0.7362879134567121}
{-71.31657008525109, -0.7362572480351595}	{-71.31657008525066, 0.7362572480351535}
{-71.31424703925266, -0.7362216911236694}	{-71.3142470392518, 0.7362216911236565}
{-71.31196213905606, -0.7361874959264745}	{-71.3119621390551, 0.7361874959264602}
{-71.31013064705232, 0.7361606969175976}	{-71.31013064705101, -0.7361606969175787}
{-71.31925628296759, -0.7362912549159955}	{-71.31925628296689, 0.7362912549159855}
{-71.30955530781826, -0.7361555710655067}	{-71.30955530781799, 0.7361555710655023}
{-71.31169680449543, -0.7361848493029175}	{-71.31169680449526, 0.7361848493029148}
{-71.31606836226997, -0.7362432718251236}	{-71.31606836226881, 0.7362432718251083}
{-71.31227719774702, -0.7361937538476183}	{-71.31227719774616, 0.7361937538476073}
{-71.31126549634342, 0.7361808412943857}	{-71.31126549634322, -0.7361808412943834}
{-71.30227062639796, -0.7360686813110912}	{-71.30227062639653, 0.7360686813110738}
{-71.31951346435538, -0.7362787350252972}	{-71.3195134643552, 0.7362787350252951}
{-71.30652977104249, -0.736124245244059}	{-71.30652977104181, 0.7361242452440504}
{-71.3093354498566, -0.7361568417968678}	{-71.30933544985535, 0.7361568417968526}
{-71.30502586101063, 0.7361079613630904}	{-71.3050258610104, -0.7361079613630879}
{-71.31789192616937, -0.7362504056300921}	{-71.3178919261689, 0.7362504056300871}
{-71.29961638809593, 0.7360529882624779}	{-71.29961638809527, -0.7360529882624711}
{-71.31167380251388, 0.7361800313070269}	{-71.31167380251314, -0.7361800313070193}
{-71.30490319295716, -0.7361104623397235}	{-71.3049031929563, 0.736110462339715}
{-71.3044722065443, -0.7361061458993197}	{-71.30447220654379, 0.7361061458993143}
{-71.31090015050844, -0.7361688805112416}	{-71.3109001505084, 0.7361688805112411}
{-71.31152804267408, -0.7361748497272869}	{-71.3115280426734, 0.7361748497272805}
{-71.30636923897782, 0.7361271059831627}	{-71.3063692389777, -0.7361271059831617}
{-71.29544693354141, -0.7360287655213454}	{-71.29544693354032, 0.7360287655213354}
{-71.30603726951585, -0.7361214992133411}	{-71.30603726951375, 0.7361214992133231}
{-71.31158851376856, 0.7361687578160064}	{-71.3115885137679, -0.7361687578160009}
{-71.29825427429654, 0.7360585034892377}	{-71.29825427429465, -0.7360585034892225}
{-71.30770678846639, -0.7361343685397979}	{-71.30770678846481, 0.736134368539785}
{-71.29843522505278, -0.7360621879713674}	{-71.29843522505234, 0.7360621879713645}
