{-75.24698955903592, 1.264212937039393}	{-75.2469895590359, -1.2642129370393913}
{-75.24718844590403, -1.264227142530948}	{-75.24718844590394, 1.2642271425309435}
{-75.24740431174533, -1.2642416855574041}	{-75.2474043117453, 1.2642416855574028}
{-75.2471813435232, 1.2642274768061774}	{-75.24718134352305, -1.2642274768061688}
{-75.24731124961443, 1.2642353269962794}	{-75.24731124961438, -1.2642353269962778}
{-75.24680216410253, 1.264206087650095}	{-75.24680216410236, -1.2642060876500862}
{-75.24658836665307, 1.2641943926044386}	{-75.24658836665299, -1.2641943926044346}
{-75.24697635803263, 1.2642146441330615}	{-75.2469763580325, -1.2642146441330544}
{-75.24648944009239, -1.2641903516410857}	{-75.24648944009205, 1.2641903516410695}
{-75.24698998915402, -1.2642142586636054}	{-75.24698998915382, 1.2642142586635967}
{-75.24603852758494, 1.26417069158013}	{-75.24603852758482, -1.2641706915801247}
{-75.2468921141076, -1.264208213096735}	{-75.24689211410727, 1.264208213096722}
{-75.2465167885152, 1.264192355440244}	{-75.24651678851512, -1.264192355440241}
{-75.24726908538574, 1.26422294060217}	{-75.2472690853851, -1.2642229406021446}
{-75.24577747890528, 1.2641645260121286}	{-75.24577747890491, -1.2641645260121155}
{-75.24637253687175, -1.2641869956174827}	{-75.24637253687173, 1.264186995617481}
{-75.24615368513199, 1.2641790202575984}	{-75.24615368513166, -1.2641790202575862}
{-75.24485011927092, -1.264133136319811}	{-75.24485011927075, 1.2641331363198047}
{-75.24602102020782, -1.2641729762701128}	{-75.24602102020708, 1.264172976270087}
{-75.24511626369235, -1.2641431966163625}	{-75.24511626369203, 1.2641431966163517}
{-75.24684740062425, -1.2641983543687054}	{-75.2468474006239, 1.2641983543686945}
{-75.24451820803229, -1.264126468873129}	{-75.24451820803176, 1.2641264688731129}
{-75.24475119903974, -1.2641334382046105}	{-75.24475119903973, 1.26413343820461}
{-75.24533088143443, -1.2641502535271134}	{-75.24533088143369, 1.2641502535270914}
{-75.24308862217389, 1.2640871457168434}	{-75.24308862217374, -1.2640871457168394}
{-75.24788753894045, 1.2642182577253904}	{-75.24788753893989, -1.2642182577253753}
{-75.24167814216105, -1.2640535038270335}	{-75.24167814216098, 1.2640535038270322}
{-75.2448771901103, 1.264135969368524}	{-75.24487719010978, -1.2641359693685106}
{-75.24537240529587, -1.2641483772156645}	{-75.24537240529537, 1.264148377215652}
{-75.24108263792483, -1.2640438753383456}	{-75.24108263792432, 1.2640438753383334}
{-75.2465665835903, -1.2641738114308685}	{-75.2465665835891, 1.264173811430841}
{-75.24278744076508, -1.264086692868499}	{-75.24278744076477, 1.2640866928684915}
{-75.24451347169436, -1.2641254150307677}	{-75.244513471694, 1.264125415030759}
{-75.23986037644801, 1.2640238004539528}	{-75.23986037644724, -1.2640238004539364}
{-75.24475324185214, 1.2641278384792105}	{-75.24475324185144, -1.264127838479195}
{-75.24135858499442, -1.2640575417548328}	{-75.24135858499385, 1.264057541754821}
{-75.24096399868068, 1.2640495827477956}	{-75.24096399868016, -1.2640495827477856}
{-75.24535708350543, 1.2641359126323322}	{-75.24535708350496, -1.2641359126323233}
{-75.23948642954896, -1.2640235040112444}	{-75.23948642954846, 1.264023504011235}
{-75.24113702753495, -1.2640543020170254}	{-75.24113702753485, 1.2640543020170236}
{-75.24031464440766, 1.2640393470566404}	{-75.24031464440628, -1.2640393470566151}
{-75.23799683990867, -1.2639982660136009}	{-75.23799683990802, 1.2639982660135893}
{-75.2415420111732, -1.2640595148434297}	{-75.24154201117197, 1.2640595148434086}
{-75.2395266559863, -1.2640255736122545}	{-75.23952665598621, 1.264025573612253}
{-75.23921313125794, 1.2640204265486528}	{-75.23921313125757, -1.2640204265486472}
{-75.24174745567737, 1.264060984672341}	{-75.2417474556767, -1.2640609846723303}
{-75.23423187822829, 1.2639437461065133}	{-75.23423187822638, -1.263943746106484}
{-75.23845548857224, 1.2640079663312849}	{-75.23845548857192, -1.2640079663312802}
{-75.24141827257687, 1.2640518777956211}	{-75.24141827257377, -1.2640518777955763}
{-75.23629476382287, -1.263977872791062}	{-75.23629476382185, 1.2639778727910471}
{-75.23879177764405, -1.2640130190452035}	{-75.238791777644, 1.264013019045202}
{-75.23441116529278, 1.263952943266351}	{-75.23441116529222, -1.263952943266343}
{-75.23959694940233, -1.264022225994201}	{-75.23959694940127, 1.2640222259941871}
{-75.23096107077237, -1.2639098532085813}	{-75.23096107077123, 1.263909853208567}
{-75.23355829060012, 1.2639427611105267}	{-75.23355829059989, -1.2639427611105234}
{-75.24019487244571, 1.2640246321091249}	{-75.24019487244432, -1.2640246321091084}
{-75.23426929227111, -1.2639534861507504}	{-75.2342692922709, 1.263953486150747}
{-75.23346502441008, -1.2639440914730204}	{-75.23346502440927, 1.2639440914730116}
{-75.22963188102915, 1.263900544991365}	{-75.22963188102902, -1.2639005449913636}
