{-83.65258249655233, 1.933689235502429}	{-83.6525824965521, -1.9336892355024153}
{-83.6520327413434, -1.9336578507673545}	{-83.65203274134322, 1.9336578507673436}
{-83.65249171338887, -1.9336829495093755}	{-83.65249171338877, 1.933682949509369}
{-83.6515366347757, -1.9336328511515417}	{-83.65153663477524, 1.9336328511515157}
{-83.65308957387839, -1.9337110878325627}	{-83.65308957387833, 1.9337110878325587}
{-83.65178725033394, -1.9336479982472192}	{-83.65178725033371, 1.9336479982472097}
{-83.65090070499384, -1.9336066557885074}	{-83.6509007049937, 1.9336066557885014}
{-83.6520588931824, 1.93365869934626}	{-83.652058893182, -1.9336586993462415}
{-83.65087196153408, 1.9336072581669854}	{-83.65087196153361, -1.9336072581669657}
{-83.65245644712815, 1.9336735480131506}	{-83.652456447128, -1.9336735480131457}
{-83.65117121824177, 1.9336216009176048}	{-83.65117121824133, -1.9336216009175873}
{-83.65051796121904, -1.933596073332786}	{-83.65051796121898, 1.9335960733327835}
{-83.65016297646179, 1.9335826524391662}	{-83.65016297646173, -1.9335826524391642}
{-83.65096817994994, 1.9336121240766175}	{-83.6509681799495, -1.9336121240766015}
{-83.64959846727044, 1.933563560179331}	{-83.64959846726981, -1.9335635601793109}
{-83.65113735090044, 1.9336164433202858}	{-83.65113735090021, -1.9336164433202778}
{-83.64821377209539, -1.9335190173119503}	{-83.64821377209499, 1.9335190173119372}
{-83.64924478383621, -1.9335523506344638}	{-83.64924478383608, 1.9335523506344607}
{-83.65061364587605, -1.9335953069432692}	{-83.65061364587586, 1.9335953069432632}
{-83.64929596460382, 1.9335551553522883}	{-83.6492959646031, -1.933555155352267}
{-83.64679532267473, -1.933481139521755}	{-83.64679532267473, 1.9334811395217542}
{-83.650600875789, 1.9335905928276942}	{-83.65060087578894, -1.933590592827692}
{-83.64702560000657, 1.9334906407485395}	{-83.64702560000636, -1.9334906407485337}
{-83.64880120475485, -1.9335389042424194}	{-83.64880120475418, 1.9335389042424}
{-83.64682358535131, 1.9334866263050445}	{-83.64682358535022, -1.9334866263050157}
{-83.64586253594585, -1.9334619137674893}	{-83.64586253594531, 1.9334619137674756}
{-83.64668861671295, -1.933482580990779}	{-83.64668861671295, 1.9334825809907785}
{-83.64524303199234, -1.9334473873030589}	{-83.6452430319915, 1.9334473873030393}
{-83.64538786414023, -1.9334508190045243}	{-83.64538786413958, 1.9334508190045097}
{-83.6464510729969, -1.9334753403270155}	{-83.64645107299636, 1.9334753403270037}
{-83.64723944465361, -1.9334930405620994}	{-83.64723944465206, 1.9334930405620654}
{-83.64099604885163, 1.9333565814319618}	{-83.6409960488499, -1.9333565814319242}
{-83.64566421023179, -1.9334559131511049}	{-83.64566421023143, 1.933455913151098}
{-83.64388015400098, -1.9334189535312551}	{-83.64388015400019, 1.9334189535312387}
{-83.6432375404284, -1.9334059929220044}	{-83.64323754042834, 1.933405992922003}
{-83.64074375592902, 1.9333570297194265}	{-83.64074375592871, -1.9333570297194203}
{-83.64449821265501, 1.933428788280106}	{-83.64449821265448, -1.933428788280097}
{-83.63933059234296, 1.9333326535257773}	{-83.63933059234192, -1.9333326535257582}
{-83.6389478761058, -1.93332572470536}	{-83.6389478761055, 1.9333257247053548}
{-83.63948751050312, 1.9333352311536838}	{-83.63948751050222, -1.9333352311536678}
{-83.6429603912407, -1.9333947519838308}	{-83.64296039124063, 1.93339475198383}
{-83.63813647830098, 1.9333143403764166}	{-83.63813647830095, -1.9333143403764164}
{-83.63291422351969, -1.9332297017614664}	{-83.63291422351932, 1.9332297017614606}
{-83.63589662310348, -1.9332766862015967}	{-83.63589662310183, 1.9332766862015707}
{-83.64216131588769, -1.933372592640704}	{-83.64216131588604, 1.9333725926406784}
{-83.6316792456121, 1.9332167343029691}	{-83.63167924561151, -1.9332167343029611}
{-83.63432413999126, 1.9332549122377318}	{-83.63432413999026, -1.9332549122377172}
{-83.63727598065525, 1.933296259193243}	{-83.63727598065395, -1.9332962591932243}
{-83.63419184343168, 1.9332543644956215}	{-83.63419184343124, -1.9332543644956155}
{-83.62596526860162, 1.9331460730020003}	{-83.62596526860106, -1.9331460730019934}
{-83.6372645441503, -1.933290126655695}	{-83.63726454414916, 1.9332901266556801}
{-83.63013604273672, 1.9332021777593371}	{-83.63013604273574, -1.933202177759324}
{-83.62915593370123, 1.9331904874330523}	{-83.62915593369999, -1.9331904874330388}
{-83.62744768661413, -1.9331708076659173}	{-83.62744768661315, 1.9331708076659069}
{-83.62599908557544, 1.9331547064958154}	{-83.62599908557316, -1.9331547064957906}
{-83.62580369975011, -1.9331526137354071}	{-83.62580369974893, 1.9331526137353947}
{-83.62785474537475, -1.9331737558785422}	{-83.62785474537152, 1.9331737558785094}
{-83.62454814862265, -1.93314100479843}	{-83.62454814862105, 1.933141004798415}

{-83.62216078051112, 1.933119565266906}	{-83.62216078050943, -1.9331195652668907}
{-83.61604704570509, 1.9330664437814025}	{-83.616047045701, -1.9330664437813678}
{-83.62520060430317, 1.9331422456724519}	{-83.62520060430312, -1.933142245672451}
{-83.61541968915229, 1.933065269427066}	{-83.61541968914757, -1.9330652694270303}
{-83.62243813583905, 1.9331175933287663}	{-83.6224381358341, -1.9331175933287297}
{-83.6118508104422, 1.9330431006452182}	{-83.61185081044191, -1.9330431006452158}
{-83.61948993171987, 1.9330936111206056}	{-83.61948993171805, -1.933093611120596}
{-83.61089529090762, 1.9330404726459451}	{-83.61089529090648, -1.9330404726459387}
{-83.61300863490432, 1.9330526159628074}	{-83.61300863489977, -1.9330526159627825}
{-83.61772881812287, -1.9330776526586624}	{-83.61772881811969, 1.9330776526586453}
{-83.6082430897456, -1.9330316280381232}	{-83.6082430897424, 1.9330316280381072}
{-83.61114505195778, 1.933044367971278}	{-83.61114505195674, -1.9330443679712734}
{-83.6097743008418, 1.9330389956198069}	{-83.60977430084105, -1.9330389956198035}
{-83.60474145950535, 1.9330217066676325}	{-83.60474145950353, -1.933021706667628}
{-83.61342313368094, -1.9330472334071838}	{-83.61342313368083, 1.9330472334071835}
{-83.60297402291233, 1.9330218440549656}	{-83.60297402291006, -1.9330218440549591}
{-83.60698547787106, -1.9330294751504558}	{-83.60698547786922, 1.933029475150452}
{-83.60150168292732, 1.9330220270353433}	{-83.60150168292633, -1.9330220270353426}
{-83.60307841162445, 1.9330232787326722}	{-83.6030784116252, -1.9330232787326715}
{-83.6042201478419, -1.933023517896114}	{-83.6042201478428, 1.9330235178961135}
{-83.59784817467451, 1.9330260750248933}	{-83.59784817467518, -1.9330260750248924}
{-83.5995433320406, -1.9330243140098033}	{-83.59954333204143, 1.9330243140098033}
{-83.60215872513746, 1.9330198589031249}	{-83.6021587251379, -1.933019858903124}
{-83.59906137834919, 1.9330273012758068}	{-83.59906137834953, -1.9330273012758057}
{-83.59101739789742, 1.9330525879478428}	{-83.5910173978976, -1.9330525879478422}
{-83.59859446851405, -1.9330228715410516}	{-83.59859446851546, 1.9330228715410485}
{-83.59558405768826, 1.9330371554190953}	{-83.59558405769074, -1.933037155419084}
{-83.59548558476902, -1.9330377092199362}	{-83.59548558477022, 1.9330377092199316}
{-83.59253394996189, 1.9330570801101425}	{-83.5925339499623, -1.9330570801101377}
{-83.5930632332201, -1.933053073907326}	{-83.59306323322048, 1.933053073907321}
{-83.59168142038106, -1.9330650291105822}	{-83.59168142038403, 1.9330650291105547}
