{-87.62485428859044, 2.2100203261652536}	{-87.62485428859004, -2.210020326165232}
{-87.6250432470914, -2.2100304837292883}	{-87.6250432470907, 2.2100304837292524}
{-87.62478440627835, -2.2100170860056796}	{-87.62478440627804, 2.210017086005663}
{-87.62404299282342, 2.209980096981433}	{-87.62404299282333, -2.2099800969814285}
{-87.62482144110713, 2.2100175650410208}	{-87.62482144110709, -2.210017565041019}
{-87.62422867732076, 2.209990015859091}	{-87.6242286773204, -2.2099900158590744}
{-87.624351478942, -2.209995531260351}	{-87.62435147894175, 2.2099955312603403}
{-87.62404114751436, 2.2099820518874544}	{-87.62404114751416, -2.2099820518874447}
{-87.62204550960868, -2.209898164123909}	{-87.62204550960867, 2.209898164123908}
{-87.62412302334549, -2.209982733832369}	{-87.62412302334525, 2.20998273383236}
{-87.62281994058642, -2.209931334424112}	{-87.62281994058615, 2.2099313344241014}
{-87.62228517534525, -2.2099108838325128}	{-87.62228517534462, 2.209910883832487}
{-87.62425896453384, -2.2099841033615637}	{-87.62425896453357, 2.2099841033615557}
{-87.62168407122597, -2.209891404195136}	{-87.62168407122589, 2.2098914041951336}
{-87.62209404230917, 2.20990573437856}	{-87.62209404230883, -2.2099057343785478}
{-87.62214167546415, -2.209907351602049}	{-87.6221416754638, 2.209907351602037}
{-87.6201810478891, -2.209842670243201}	{-87.62018104788713, 2.2098426702431353}
{-87.62082940220853, -2.2098634610088386}	{-87.62082940220785, 2.209863461008817}
{-87.62072119988653, -2.209860087297409}	{-87.62072119988561, 2.20986008729738}
{-87.62066332271061, 2.209858332142618}	{-87.62066332271041, -2.209858332142612}
{-87.61993383814792, 2.209836810668625}	{-87.61993383814746, -2.209836810668611}
{-87.61998762690541, 2.2098383548393112}	{-87.61998762690445, -2.2098383548392837}
{-87.62129393733166, -2.209874854553312}	{-87.62129393733159, 2.20987485455331}
{-87.61511933903033, 2.209706913439554}	{-87.61511933902949, -2.209706913439532}
{-87.6200459499768, 2.2098373720911484}	{-87.62004594997673, -2.209837372091147}
{-87.61724009748511, -2.2097650243410447}	{-87.61724009748325, 2.2097650243409976}
{-87.61602289260276, 2.209734461755569}	{-87.61602289260227, -2.2097344617555574}
{-87.6171213781542, 2.209761322907041}	{-87.61712137815161, -2.2097613229069792}
{-87.61585574671051, 2.2097311817475385}	{-87.61585574671008, -2.209731181747529}
{-87.61646442892243, 2.2097452996951406}	{-87.61646442892219, -2.209745299695134}
