{-71.62729597717917, -0.79168129578994}	{-71.62729597717913, 0.7916812957899345}
{-71.62691327735425, -0.7916425881933756}	{-71.62691327735418, 0.7916425881933706}
{-71.62745181917674, 0.7916932469984043}	{-71.62745181917664, -0.7916932469983962}
{-71.62700440210523, -0.7916539285813272}	{-71.62700440210502, 0.7916539285813093}
{-71.62775965017431, -0.7917161772898602}	{-71.62775965017426, 0.7917161772898561}
{-71.62716892215643, -0.7916703530260444}	{-71.62716892215636, 0.7916703530260392}
{-71.62684239806116, -0.791646439500801}	{-71.62684239806111, 0.7916464395007977}
{-71.62667231293699, -0.7916346468240935}	{-71.62667231293686, 0.791634646824085}
{-71.62711075562568, -0.7916634972495614}	{-71.62711075562558, 0.7916634972495548}
{-71.62692760574726, -0.7916520337760291}	{-71.62692760574724, 0.7916520337760287}
{-71.62745375492415, -0.7916834226829169}	{-71.62745375492402, 0.7916834226829096}
{-71.6267597001478, 0.7916438833483009}	{-71.62675970014749, -0.7916438833482843}
{-71.62713772512603, 0.791664483273145}	{-71.62713772512586, -0.7916644832731355}
{-71.6260044003051, -0.7916053149951743}	{-71.62600440030498, 0.7916053149951678}
{-71.62708478455632, 0.7916594310424095}	{-71.62708478455579, -0.7916594310423835}
{-71.62795588336832, -0.791701348983588}	{-71.62795588336785, 0.7917013489835667}
{-71.62627423625304, 0.7916235108653635}	{-71.62627423625291, 0.7916235108653566}	{-71.6262742362529, -0.7916235108653569}	{-71.62627423625254, -0.79162351086534}
{-71.62672971839218, 0.791643813415389}	{-71.62672971839199, -0.7916438134153811}
{-71.62519852087422, -0.7915780186692222}	{-71.62519852087422, 0.7915780186692224}
{-71.62789693847277, 0.7916899047754071}	{-71.6278969384726, -0.7916899047753997}
{-71.62650879226705, 0.7916343133977668}	{-71.62650879226668, -0.7916343133977519}
{-71.62374572013528, -0.7915273467413799}	{-71.62374572013525, 0.7915273467413786}
{-71.62817189565725, -0.7916931199031212}	{-71.6281718956567, 0.7916931199031013}
{-71.62585828655203, -0.7916092261210278}	{-71.62585828655196, 0.7916092261210251}
