{-74.15962523416916, 1.1249265124628516}	{-74.1596252341691, -1.1249265124628482}
{-74.15966747206353, 1.1249298012547118}	{-74.1596674720633, -1.1249298012546942}
{-74.1595040776993, 1.1249178522060532}	{-74.15950407769907, -1.124917852206038}
{-74.15965050438815, -1.1249279425052514}	{-74.15965050438808, 1.1249279425052463}
{-74.15892625019733, 1.1248807758430976}	{-74.15892625019721, -1.1248807758430912}
{-74.15983802197468, -1.1249370395024325}	{-74.15983802197458, 1.1249370395024267}
{-74.15895810641577, -1.1248854683476184}	{-74.15895810641565, 1.1248854683476117}
{-74.15918427650942, 1.1248980853660016}	{-74.15918427650911, -1.1248980853659842}
{-74.15988121534365, -1.1249351631844131}	{-74.15988121534349, 1.1249351631844045}
{-74.15809164257544, 1.1248442054969368}	{-74.15809164257536, -1.1248442054969328}
{-74.15931591155775, 1.1249037502374153}	{-74.15931591155714, -1.1249037502373862}
{-74.1599757499229, 1.1249345060509968}	{-74.15997574992288, -1.1249345060509952}
{-74.15819612103145, -1.124854901359747}	{-74.15819612103104, 1.1248549013597287}
{-74.15938415125817, 1.1249059644842485}	{-74.15938415125815, -1.1249059644842467}
{-74.15869779288371, 1.124877584605363}	{-74.15869779288352, -1.1248775846053551}
{-74.15812697966972, 1.1248548543631505}	{-74.15812697966969, -1.1248548543631496}
{-74.15867426656546, 1.1248758638121776}	{-74.15867426656538, 1.124875863812175}	{-74.15867426656509, -1.1248758638121643}	{-74.15867426656509, -1.1248758638121639}
{-74.15799626475267, -1.1248507491734798}	{-74.1579962647521, 1.1248507491734598}
{-74.15930343722644, -1.1248975125520984}	{-74.1593034372263, 1.1248975125520924}
{-74.15799821008497, 1.1248523801740309}	{-74.15799821008487, -1.124852380174027}
{-74.15836158860465, 1.1248645341719072}	{-74.15836158860422, -1.1248645341718941}
{-74.15648837901253, 1.1248038869777202}	{-74.1564883790122, -1.1248038869777102}
{-74.15888881745084, 1.1248791655032735}	{-74.1588888174505, -1.1248791655032626}
{-74.15734290834176, -1.1248321771916072}	{-74.15734290834156, 1.1248321771916006}
{-74.15778433869392, -1.1248451891159492}	{-74.15778433869366, 1.1248451891159423}
{-74.15670614402228, -1.1248143511345698}	{-74.15670614402148, 1.1248143511345479}
{-74.15668032727687, -1.1248136343003052}	{-74.15668032727665, 1.1248136343002983}
{-74.15672149433698, 1.1248147445064416}	{-74.15672149433657, -1.1248147445064303}
{-74.15923027665035, -1.1248804877727294}	{-74.15923027665016, 1.1248804877727245}
{-74.15468292802859, -1.12476465027484}	{-74.15468292802852, 1.124764650274838}
{-74.15684372373192, -1.124818177415332}	{-74.15684372373171, 1.124818177415327}
{-74.15978916660616, 1.1248891604091398}	{-74.1597891666055, -1.1248891604091247}
{-74.15191122875638, 1.1247044130549075}	{-74.1519112287562, -1.1247044130549035}
{-74.15708048984756, -1.124822417032368}	{-74.15708048984715, 1.1248224170323586}
{-74.15900921666125, -1.1248652907194168}	{-74.1590092166611, 1.1248652907194132}
{-74.15385279084428, -1.1247536540703411}	{-74.15385279084424, 1.1247536540703396}
{-74.15268586916018, -1.1247290428112178}	{-74.15268586916011, 1.1247290428112167}
{-74.15730556153233, 1.1248239856990987}	{-74.15730556153228, -1.124823985699098}
{-74.15300173091099, -1.124737779419406}	{-74.15300173091094, 1.124737779419405}
{-74.15724552380011, 1.1248206402969532}	{-74.15724552379896, -1.1248206402969312}
{-74.15438982908505, 1.1247662787350947}	{-74.15438982908489, -1.124766278735091}
{-74.15094696576834, 1.124702375608667}	{-74.15094696576793, -1.1247023756086596}
{-74.15418052164462, 1.1247609053259393}	{-74.15418052164353, -1.1247609053259193}
{-74.1528711849066, 1.1247377904288531}	{-74.15287118490603, -1.1247377904288431}
{-74.15418962783815, 1.1247604930845227}	{-74.15418962783798, -1.1247604930845196}
{-74.1525131054885, -1.1247323335204884}	{-74.15251310548744, 1.1247323335204706}
{-74.15544290997322, -1.124780338007313}	{-74.15544290997292, 1.1247803380073076}
{-74.14992603355354, -1.1246921598688442}	{-74.14992603355337, 1.1246921598688417}
{-74.15076009081662, -1.1247051640745482}	{-74.15076009081659, 1.1247051640745476}
{-74.15172751186836, 1.1247198784293937}	{-74.15172751186736, -1.1247198784293788}
{-74.15359089471282, 1.124747525904067}	{-74.1535908947119, -1.1247475259040536}
{-74.14927562412313, -1.1246850738881322}	{-74.14927562412164, 1.124685073888111}
{-74.14708490548682, 1.124654152248907}	{-74.14708490548631, -1.1246541522488998}
{-74.1560714731661, -1.1247778659436454}	{-74.15607147316368, 1.124777865943612}
