{-91.48031441120793, -2.432709534795833}	{-91.48031441120739, 2.432709534795803}
{-91.47943616858211, -2.4326639348065977}	{-91.47943616858174, 2.4326639348065804}
{-91.47918575302373, 2.432651369645065}	{-91.47918575302342, -2.432651369645049}
{-91.47951081076408, 2.432667144349198}	{-91.47951081076359, -2.4326671443491743}
{-91.4786856023229, -2.4326283851950885}	{-91.47868560232247, 2.4326283851950694}
{-91.47911976560214, -2.432648135203863}	{-91.47911976560181, 2.432648135203849}
{-91.47834238711117, -2.4326138644558934}	{-91.47834238711063, 2.432613864455871}
{-91.47890873896546, -2.432638075236828}	{-91.47890873896428, 2.4326380752367793}
{-91.47824014283105, 2.432610344944781}	{-91.47824014283022, -2.4326103449447483}
{-91.47672949348502, -2.4325495255351237}	{-91.47672949348465, 2.432549525535109}
{-91.47912614368471, 2.4326432333873482}	{-91.47912614368438, -2.432643233387337}
{-91.47732440576459, 2.4325747878613737}	{-91.4773244057642, -2.432574787861358}
{-91.47652798566736, -2.432545380807911}	{-91.47652798566692, 2.4325453808078947}
{-91.47512856099799, 2.432495137755136}	{-91.47512856099779, -2.432495137755129}
{-91.47630068656792, 2.4325360701848235}	{-91.47630068656677, -2.432536070184783}
{-91.47563765727818, 2.432513541829569}	{-91.47563765727716, -2.4325135418295347}
{-91.47643267697599, 2.4325398324987266}	{-91.47643267697553, -2.4325398324987106}
{-91.4758383011087, -2.432520697698657}	{-91.47583830110797, 2.432520697698633}
{-91.4746265061062, -2.4324827112087366}	{-91.47462650610544, 2.4324827112087126}
{-91.47133036813092, 2.432382081029053}	{-91.47133036813086, -2.432382081029052}
{-91.47382214672061, -2.4324561842837076}	{-91.47382214671906, 2.4324561842836614}
{-91.47348772743408, -2.432446494931669}	{-91.47348772743385, 2.4324464949316633}
{-91.47543338984784, 2.432501423953336}	{-91.47543338984768, -2.4325014239533322}
{-91.47124709262563, 2.4323862552229363}	{-91.47124709262361, -2.4323862552228808}
{-91.47269493189195, -2.432425072743739}	{-91.47269493189191, 2.4324250727437375}
{-91.46895409944526, 2.4323273261989375}	{-91.46895409944477, -2.432327326198926}
{-91.47097652592244, -2.432378830502515}	{-91.47097652592124, 2.4323788305024863}
{-91.47045407532723, 2.4323658629368325}	{-91.47045407532681, -2.4323658629368228}
{-91.46754812535663, -2.4322955682396734}	{-91.46754812535583, 2.4322955682396543}
{-91.4672516521978, 2.432288579219364}	{-91.46725165219743, -2.4322885792193554}
{-91.4691630513399, 2.4323324878876726}	{-91.4691630513392, -2.4323324878876567}
{-91.46659101943567, 2.432274918995817}	{-91.46659101943504, -2.4322749189958026}
{-91.46329822294632, 2.432203120832886}	{-91.46329822294501, -2.4322031208328587}
{-91.46919940817276, 2.4323284530807063}	{-91.46919940817, -2.432328453080648}
{-91.46399932656037, -2.4322209032261086}	{-91.46399932656018, 2.432220903226105}
{-91.46286635092216, 2.4321980909375327}	{-91.46286635092152, -2.43219809093752}
{-91.46287909173391, -2.4321983406134056}	{-91.46287909173391, 2.4321983406134047}
{-91.46049990352802, 2.4321529790162555}	{-91.46049990352687, -2.4321529790162333}
{-91.45840217820165, -2.432114082177152}	{-91.45840217819674, 2.432114082177063}
{-91.46628133177596, 2.4322561147717243}	{-91.46628133177572, -2.4322561147717203}
{-91.4589685112382, -2.4321280267566663}	{-91.45896851123788, 2.432128026756662}
{-91.45229135045416, 2.4320144606065837}	{-91.45229135045308, -2.432014460606565}
{-91.45598031007, 2.4320753520164033}	{-91.45598031006985, -2.432075352016402}
