{-77.02318423235243, -1.394905240971525}	{-77.02318423235222, 1.3949052409715097}
{-77.02279339757006, 1.394878545988422}	{-77.02279339756957, -1.39487854598839}
{-77.02328982238257, -1.3949106180560886}	{-77.02328982238231, 1.3949106180560713}
{-77.02245368353577, 1.3948593929082482}	{-77.02245368353555, -1.3948593929082338}
{-77.02271539079754, -1.3948746313100717}	{-77.02271539079727, 1.3948746313100564}
{-77.02306240260877, -1.3948938745446156}	{-77.02306240260864, 1.3948938745446084}
{-77.02259057572225, 1.3948689089926516}	{-77.02259057572209, -1.3948689089926427}
{-77.02182041391121, 1.3948299588944022}	{-77.02182041391069, -1.3948299588943767}
{-77.02330521165958, -1.3949018443406194}	{-77.02330521165936, 1.3949018443406094}
{-77.02166736463745, -1.394825826038902}	{-77.02166736463731, 1.3948258260388946}
{-77.0226396221339, -1.3948691444672803}	{-77.02263962213324, 1.394869144467252}
{-77.02098634753213, 1.3947983478331893}	{-77.02098634753159, -1.394798347833166}
{-77.02261707613644, -1.3948655397205951}	{-77.02261707613627, 1.3948655397205871}
{-77.02197492005565, -1.3948400539399244}	{-77.0219749200548, 1.3948400539398922}
{-77.02092366187054, -1.3947998278744655}	{-77.02092366187006, 1.3947998278744473}
{-77.02159847284544, -1.3948247459201821}	{-77.02159847284496, 1.394824745920165}
{-77.02239404805921, -1.3948531194313734}	{-77.02239404805876, 1.394853119431357}
{-77.0220017822634, 1.394839597170652}	{-77.02200178226317, -1.3948395971706447}
{-77.01995724707689, 1.3947714243954423}	{-77.0199572470765, -1.39477142439543}
{-77.02255957633785, 1.3948554139738825}	{-77.02255957633776, 1.3948554139738785}	{-77.02255957633724, -1.3948554139738623}
{-77.01962025669167, 1.3947635324212875}	{-77.01962025669135, -1.394763532421278}
{-77.0214861991205, -1.394820058932847}	{-77.02148619912032, 1.3948200589328417}
{-77.02136641333462, 1.3948165402925168}	{-77.02136641333456, -1.3948165402925148}
{-77.0201272293694, 1.3947812272007691}	{-77.0201272293693, -1.3947812272007665}
{-77.0182661318126, -1.394729751606217}	{-77.01826613181255, 1.3947297516062163}
{-77.01942179030932, 1.3947607894050145}	{-77.01942179030851, -1.394760789404993}
{-77.0200455779063, -1.3947770640191248}	{-77.02004557790626, 1.3947770640191248}
{-77.01937971882263, 1.3947601818229713}	{-77.01937971882214, -1.394760181822959}
{-77.02019587150876, -1.394780297896918}	{-77.02019587150873, 1.3947802978969164}
{-77.02124869071831, 1.3948055324270199}	{-77.02124869071773, -1.3948055324270052}
{-77.01646909306233, -1.394694098892835}	{-77.01646909306196, 1.3946940988928265}
{-77.0165327900018, -1.3946955438034492}	{-77.01653279000142, 1.3946955438034403}
{-77.01959403354718, 1.394763128144199}	{-77.01959403354702, -1.3947631281441957}
{-77.01845015952541, -1.3947385445818465}	{-77.0184501595252, 1.394738544581842}
{-77.01958848557496, 1.394762364060437}	{-77.01958848557449, -1.3947623640604265}
{-77.01481954102843, -1.3946651896968891}	{-77.01481954102768, 1.394665189696874}
{-77.01592812483031, -1.3946871899477955}	{-77.01592812482981, 1.3946871899477855}
{-77.01968747666963, 1.3947598647041137}	{-77.0196874766692, -1.394759864704106}
{-77.01660768996781, 1.3947018636049389}	{-77.01660768996766, -1.3947018636049358}
{-77.01335228193224, -1.3946421352410319}	{-77.01335228193128, 1.394642135241014}
{-77.01733253569874, 1.3947132885438651}	{-77.01733253569775, -1.3947132885438476}
{-77.01203941855739, 1.3946210918894784}	{-77.01203941855624, -1.3946210918894588}
{-77.01696504564656, 1.3947046897959998}	{-77.01696504564572, -1.3947046897959852}
{-77.0146676710404, -1.394666696830716}	{-77.01466767104027, 1.3946666968307133}
{-77.01238997850079, 1.3946299968037894}	{-77.01238997850076, -1.3946299968037892}
{-77.01811354641755, 1.3947198519928425}	{-77.01811354641676, -1.3947198519928297}
{-77.0124472462927, -1.3946331888088028}	{-77.01244724629143, 1.3946331888087835}
{-77.00992823468115, -1.394595661399714}	{-77.00992823467996, 1.3945956613996968}
{-77.0117845133147, 1.394622596347717}	{-77.01178451331334, -1.394622596347698}
{-77.01173821282823, -1.3946219420820545}	{-77.01173821282765, 1.394621942082046}
{-77.0105505274414, -1.3946056012993153}	{-77.01055052744105, 1.3946056012993109}
{-77.0090084382799, 1.3945849482786767}	{-77.00900843827795, -1.3945849482786508}
{-77.01594849117735, 1.3946754101567633}	{-77.01594849117599, -1.3946754101567458}
{-77.00815398222458, -1.3945765613100265}	{-77.00815398222386, 1.394576561310018}
{-77.01049704400452, -1.3946054607165874}	{-77.01049704400272, 1.3946054607165654}
{-77.00734962721666, 1.3945677167787738}	{-77.00734962721431, -1.3945677167787465}
{-77.00775070888383, 1.394572391250883}	{-77.00775070888379, -1.3945723912508823}
{-77.00380068311325, 1.3945276703065157}	{-77.00380068311303, -1.3945276703065124}
