{-315.902149051494, -12.354459869544076}	{-315.9021490513867, 12.354459869539708}
{-315.8722577397214, -12.35324567997478}	{-315.8722577395937, 12.35324567996962}
{-315.82376350848585, 12.351280604351091}	{-315.82376350817896, -12.351280604338672}
{-315.8276390977697, -12.351437264987508}	{-315.8276390976734, 12.351437264983623}
{-315.845526965745, 12.352158534787685}	{-315.84552696569426, -12.352158534785675}
{-315.7770605244467, -12.34940481341859}	{-315.7770605241397, 12.34940481340625}
{-315.7372700454611, 12.347808535374742}	{-315.7372700453846, -12.34780853537166}
{-315.7562585904111, -12.348568317026196}	{-315.75625859001167, 12.348568317010221}
{-315.7128441570127, -12.346835789453923}	{-315.7128441569611, 12.346835789451909}
{-315.71155378611815, 12.346784433686446}	{-315.7115537859756, -12.346784433680797}
{-315.7436624167055, 12.348058824443594}	{-315.7436624166187, -12.348058824440129}
{-315.59469940923015, 12.342163018757011}	{-315.5946994088753, -12.34216301874303}
{-315.6959986217306, -12.34616088568872}	{-315.69599862171816, 12.346160885688226}
{-315.62165871450884, 12.343235556374855}	{-315.6216587144876, -12.343235556374086}
{-315.51595453307243, -12.339088444164785}	{-315.51595453306084, 12.339088444164341}
{-315.5675299267812, -12.341105716831382}	{-315.567529926255, 12.341105716810812}
{-315.5202353504035, -12.339261687721766}	{-315.5202353500806, 12.33926168770918}
{-315.48585146928076, 12.337925376617061}	{-315.4858514690641, -12.337925376608675}
{-315.55974653866434, 12.340787738967792}	{-315.5597465381981, -12.340787738949858}
{-315.3605003869881, 12.333096264508638}	{-315.36050038666133, -12.333096264496016}
{-315.4547307897441, 12.33672096181248}	{-315.4547307896457, -12.336720961808666}
{-315.41038533569775, 12.335021385756535}	{-315.4103853355029, -12.335021385749062}
{-315.29415999537986, -12.330583865134122}	{-315.2941599952818, 12.330583865130324}
{-315.3311075985746, -12.331988975102051}	{-315.3311075984712, 12.331988975098168}
{-315.31950227108536, -12.331549435849437}	{-315.31950227102993, 12.331549435847341}
{-315.2113830267134, -12.327472100925002}	{-315.211383025667, 12.327472100885586}
{-315.2302591632662, -12.32818075108049}	{-315.2302591622904, 12.3281807510439}
{-315.18259079299565, -12.326399608851103}	{-315.1825907923084, 12.326399608825458}
{-315.14673279961687, -12.325066420765054}	{-315.1467327992022, 12.325066420749689}
{-315.18548073632536, -12.326499502891618}	{-315.1854807360842, 12.326499502882665}
{-315.05090575828933, 12.321550025671236}	{-315.05090575790354, -12.32155002565714}
{-315.06513311008246, -12.322070176977208}	{-315.06513311004124, 12.322070176975696}
{-315.0583665471492, -12.32182436120837}	{-315.05836654689074, 12.321824361198976}
{-314.9466148345151, -12.317792422257424}	{-314.94661483414774, 12.317792422244365}
{-314.91741014351504, -12.316746536543445}	{-314.91741014332183, 12.316746536536677}
{-314.96453025931106, 12.31842047100586}	{-314.9645302591535, -12.318420471000197}
{-314.8996477708193, -12.316135795690949}	{-314.8996477706905, 12.31613579568641}
{-314.7951433407827, -12.312491749302385}	{-314.7951433405866, 12.312491749295457}
{-314.87796039887144, -12.315348414122925}	{-314.8779603986635, 12.315348414115986}
{-314.7242354649844, -12.310110117073153}	{-314.7242354648043, 12.31011011706696}
{-314.77191971830933, 12.311712649933469}	{-314.7719197180552, -12.311712649925104}
{-314.76760325883254, 12.311569865962298}	{-314.76760325851797, -12.311569865951894}
{-314.6891570221612, -12.309022534120432}	{-314.6891570219489, 12.309022534113929}
{-314.64219175363377, -12.307530571130433}	{-314.6421917534965, 12.307530571125934}
{-314.6544526017364, -12.30790989806248}	{-314.65445260135647, 12.307909898050688}
{-314.6402456162157, -12.307484500232844}	{-314.6402456160549, 12.307484500227995}
{-314.62780281532105, 12.307127150367329}	{-314.6278028150807, -12.307127150360675}
{-314.595764796577, -12.306256591478947}	{-314.5957647965158, 12.30625659147705}
{-314.56671957945053, 12.30552621434975}	{-314.5667195793431, -12.30552621434732}
{-314.58588164768713, -12.30595488932651}	{-314.5858816476906, 12.305954889326033}
{-314.5493195718566, -12.305285548486031}	{-314.54931957183, 12.305285548484047}
{-314.5467519630897, -12.305255379486068}	{-314.5467519630605, 12.305255379484844}
{-314.5422620773836, -12.305258253478252}	{-314.5422620773511, 12.305258253478216}
{-314.5415183786433, -12.305282931503223}	{-314.5415183785786, 12.305282931501667}
{-314.5396663821733, 12.30594630361468}	{-314.5396663821617, -12.305946303613222}
{-314.5363459274171, -12.305439508821399}	{-314.53634592739115, 12.305439508817352}
{-314.55374809667467, -12.30698134164495}	{-314.55374809663573, 12.306981341642498}
{-314.5474001662565, -12.306532935420444}	{-314.5474001659378, 12.306532935401524}
{-314.54898743852124, -12.30663161756765}	{-314.5489874383317, 12.306631617555455}
{-314.57746141696845, -12.308260713665597}	{-314.577461416956, 12.308260713665147}
{-314.5939021494111, -12.309147723145626}	{-314.5939021491849, 12.309147723134517}
{-314.5731426893365, 12.308075662402107}	{-314.57314268919674, -12.308075662395515}
{-314.6098842963486, 12.30990944178625}	{-314.6098842963467, -12.309909441785743}
{-314.64225051148435, 12.311481069092357}	{-314.6422505114775, -12.311481069092304}
{-314.6893600212523, 12.313717389659509}	{-314.68936002084257, -12.313717389639661}
{-314.66122897001605, 12.312407118215987}	{-314.6612289698374, -12.31240711820789}
{-314.74835586531395, 12.316399756837383}	{-314.7483558651417, -12.316399756829599}
{-314.7256582974793, 12.315374214671854}	{-314.7256582968986, -12.315374214646178}
{-314.73415158941856, -12.315753245998595}	{-314.734151589338, 12.315753245994678}
{-314.789263411318, 12.31818577341959}	{-314.78926341105137, -12.31818577340732}
{-314.8290583163325, -12.319924962653156}	{-314.82905831581314, 12.319924962630399}
{-314.8566142661071, 12.32111856044308}	{-314.8566142654034, -12.321118560413092}
{-314.7908478431756, -12.318292849369715}	{-314.79084784270697, 12.318292849349433}
{-314.94286117677774, -12.3247757113057}	{-314.9428611766793, 12.324775711301719}
{-314.9666385070463, 12.325782772830085}	{-314.96663850657114, -12.325782772810138}
{-314.91673396926507, -12.323682503821423}	{-314.91673396921533, 12.323682503819581}
{-315.00906691210173, 12.327545430732508}	{-315.0090669107504, -12.327545430675945}
{-315.0132994121319, -12.3277215245473}	{-315.013299411996, 12.327721524541701}
{-315.0341194438207, 12.328583243239123}	{-315.0341194435706, -12.328583243228962}
{-315.06800370567885, 12.329978795520681}	{-315.0680037041524, -12.329978795458166}
{-315.0893567899114, 12.330854156336311}	{-315.0893567897671, -12.330854156330524}
{-315.22469220491485, -12.336377659917249}	{-315.22469220481133, 12.336377659912978}
{-315.1211330398306, 12.332168788088563}	{-315.12113303962803, -12.332168788083905}
{-315.20392880914466, -12.335520314748265}	{-315.20392880905615, 12.335520314744713}
{-315.21449531697317, 12.335946398123154}	{-315.21449531577105, -12.335946398074872}


{-315.2872304246728, 12.338866141440217}	{-315.2872304231921, -12.33886614138117}

{-315.37055174115346, 12.342178698846956}	{-315.37055173963034, -12.342178698786423}
{-315.3813172968941, -12.342604110099424}	{-315.3813172959238, 12.342604110061432}











