{-69.9973938331644, -0.4177397674441937}	{-69.9973938331644, 0.41773976744419145}
{-69.99744672716808, -0.4177492721549662}	{-69.99744672716803, 0.4177492721549545}
{-69.99715240897639, 0.41770064328398615}	{-69.9971524089762, -0.4177006432839591}
{-69.99750620876662, -0.41775472022141347}	{-69.99750620876661, 0.4177547202214117}
{-69.996971097311, -0.4176786589410818}	{-69.9969710973109, 0.4176786589410678}
{-69.9972411777979, 0.4177145232414857}	{-69.99724117779762, -0.417714523241452}
{-69.99779371687856, -0.4177833338938099}	{-69.99779371687848, 0.4177833338938019}
{-69.99716067239973, -0.4177091308004483}	{-69.99716067239963, 0.417709130800436}
{-69.99706204581399, 0.41769821469493545}	{-69.9970620458138, -0.41769821469491536}
{-69.99739809363554, -0.4177334303394096}	{-69.99739809363541, 0.41773343033939603}
{-69.99606155828477, 0.4176004721395531}	{-69.99606155828458, -0.4176004721395355}
{-69.99765577929618, -0.41775135221355536}	{-69.99765577929603, 0.41775135221354087}
{-69.99712098658192, 0.4177031036563369}	{-69.99712098658189, -0.41770310365633456}
{-69.99665741088442, 0.41766315297090933}	{-69.9966574108841, -0.417663152970881}
{-69.99764532197342, 0.417744610451008}	{-69.99764532197331, -0.41774461045099787}
{-69.99693569258547, 0.4176885381214169}	{-69.9969356925849, -0.4176885381213733}
{-69.99713675750094, 0.4177037862300526}	{-69.99713675750088, -0.41770378623004834}
{-69.9965963864446, -0.4176644026575879}	{-69.99659638644404, 0.4176644026575463}
{-69.99685055093421, -0.4176822274384629}	{-69.9968505509341, 0.41768222743845546}
{-69.9968716594848, -0.4176836535211801}	{-69.99687165948454, 0.41768365352116205}
{-69.99483191998155, 0.41755074354508825}	{-69.99483191998141, -0.41755074354507865}
{-69.99841139675037, -0.4177758893908771}	{-69.9984113967503, 0.41777588939087235}
{-69.99469888040429, 0.417550251744725}	{-69.99469888040429, -0.4175502517447242}
{-69.99928637523703, 0.4178198940913042}	{-69.99928637523679, -0.41781989409129056}
{-69.9944406327136, 0.41754420842789736}	{-69.9944406327136, -0.4175442084279034}	{-69.99444063271308, 0.41754420842787365}	{-69.99444063271298, -0.41754420842786144}
{-69.99662926050134, 0.4176648378817783}	{-69.99662926050104, -0.4176648378817614}
{-69.99542153599296, -0.4176003133795147}	{-69.99542153599265, 0.4176003133794989}
{-69.99901124658965, -0.4177863375866115}	{-69.99901124658959, 0.4177863375866087}
{-69.99508450304506, -0.41758881550677185}	{-69.99508450304506, 0.41758881550677185}
{-69.99553346241231, 0.4176107525996436}	{-69.99553346241206, -0.4176107525996306}
{-69.9944024822692, 0.41755704692709117}	{-69.99440248226904, -0.417557046927084}
{-69.99692414470917, 0.41767347353852147}	{-69.99692414470834, -0.41767347353848383}
{-69.99617541964783, -0.4176398453783312}	{-69.99617541964754, 0.4176398453783191}
{-69.99737816142115, 0.41769242264338347}	{-69.99737816142094, -0.41769242264337564}
{-69.99257440008944, 0.4174879196029604}	{-69.9925744000889, -0.4174879196029373}
{-69.99655457790445, 0.41765299024494057}	{-69.9965545779041, -0.41765299024492625}
{-69.99629341213225, -0.41764243537109746}	{-69.99629341213178, 0.4176424353710788}
{-69.99741302249292, 0.417686549371358}	{-69.99741302249276, -0.4176865493713517}
{-69.99558160507092, 0.41761617002291757}	{-69.99558160507064, -0.41761617002290724}
{-69.99133004204988, 0.41745674285734385}	{-69.99133004204953, -0.4174567428573306}
{-69.9966586274789, 0.41765175031965385}	{-69.99665862747823, -0.41765175031962887}
{-69.9955328638907, 0.4176115330202082}	{-69.99553286389043, -0.4176115330201978}
{-69.99414189504135, -0.41756300378667305}	{-69.99414189504087, 0.41756300378665645}
{-69.99315300398659, 0.4175293004189813}	{-69.99315300398615, -0.4175293004189658}
{-69.99326465345993, 0.41753301851059166}	{-69.9932646534598, -0.4175330185105879}
{-69.99520582369365, -0.41759619384057434}	{-69.99520582369364, 0.4175961938405742}
{-69.99285606483208, 0.41752143742828207}	{-69.99285606483188, -0.4175214374282761}
{-70.00058269144608, -0.41776176718470626}	{-70.00058269144591, 0.4177617671847006}
{-69.99065735201138, 0.41745984177389467}	{-69.99065735201111, -0.41745984177388656}
{-69.99209273538895, -0.4175025580245754}	{-69.99209273538867, 0.41750255802456654}
{-69.9986507983299, 0.4176934683906432}	{-69.99865079832945, -0.41769346839063054}
{-69.98965371299182, -0.41743718065656116}	{-69.98965371299182, 0.41743718065656116}
{-69.97441922023619, -0.4172396354441823}	{-69.9744192202335, 0.4172396354441479}
{-69.98298587765254, 0.41734809473164136}	{-69.98298587765137, -0.4173480947316266}
