{-75.63365521397964, 1.2968273923508322}	{-75.6336552139796, -1.2968273923508284}
{-75.63355447084275, -1.2968202926724484}	{-75.6335544708426, 1.296820292672438}
{-75.63328477443923, 1.29680235146736}	{-75.63328477443916, -1.2968023514673548}
{-75.63348322998048, -1.2968148476210344}	{-75.63348322998033, 1.2968148476210246}
{-75.63337400097691, -1.296808321542993}	{-75.63337400097687, 1.296808321542991}
{-75.63351958910832, 1.296816593420394}	{-75.63351958910819, -1.2968165934203861}
{-75.63332541428646, 1.2968060808726949}	{-75.6333254142864, -1.2968060808726922}
{-75.63227214833326, -1.2967516448796328}	{-75.63227214833269, 1.296751644879603}
{-75.63371270894712, 1.2968228380854359}	{-75.63371270894666, -1.2968228380854137}
{-75.63295487947529, 1.2967869704369805}	{-75.63295487947494, -1.2967869704369643}
{-75.63205720140053, -1.2967462240844019}	{-75.63205720140027, 1.2967462240843903}
{-75.63361576856065, -1.2968141593706508}	{-75.63361576856063, 1.2968141593706508}
{-75.63170459379381, 1.2967340668766174}	{-75.63170459379327, -1.2967340668765954}
{-75.63238050418465, -1.2967613305161492}	{-75.63238050418461, 1.2967613305161478}
{-75.63292521982679, -1.2967825003236448}	{-75.63292521982677, 1.2967825003236435}
{-75.63200644689744, 1.2967480637116016}	{-75.63200644689739, -1.2967480637116005}
{-75.6330371210475, 1.2967853530967117}	{-75.63303712104684, -1.2967853530966895}
{-75.63170355522072, 1.2967387421731233}	{-75.63170355522041, -1.2967387421731134}
{-75.63153461687658, 1.2967330333948193}	{-75.63153461687621, -1.296733033394807}
{-75.6332228484474, -1.2967882291247474}	{-75.63322284844715, 1.296788229124739}
{-75.63111322147358, -1.2967214525516402}	{-75.63111322147356, 1.2967214525516393}
{-75.63227240283165, -1.2967569980812785}	{-75.63227240283105, 1.2967569980812603}
{-75.62920551194271, 1.296665839560026}	{-75.62920551194253, -1.2966658395600208}
{-75.63167976143579, -1.296737165363303}	{-75.63167976143573, 1.2967371653633017}
{-75.63062097914296, -1.2967075485766402}	{-75.63062097914296, 1.2967075485766402}
{-75.63237892692078, 1.296755287067977}	{-75.63237892692064, -1.296755287067973}
{-75.62938406013076, -1.2966762997720938}	{-75.62938406013056, 1.2966762997720882}
{-75.6315256164018, 1.2967311785694897}	{-75.63152561640165, -1.2967311785694855}
{-75.63015352003899, 1.2966970024167017}	{-75.63015352003886, -1.296697002416698}
{-75.63144202264849, 1.2967282083718927}	{-75.63144202264752, -1.2967282083718692}
{-75.62940884239383, -1.296680314473696}	{-75.62940884239345, 1.2966803144736876}
{-75.63029364850416, -1.2967005928357773}	{-75.6302936485032, 1.2967005928357556}
{-75.6271973046705, 1.296631532347736}	{-75.62719730467037, -1.2966315323477335}
