{-89.1964541803949, 2.28471560805251}	{-89.1964541803944, -2.2847156080524824}
{-89.19625942811861, 2.28470523260995}	{-89.19625942811847, -2.284705232609943}
{-89.19725223452015, -2.284756224264248}	{-89.19725223451954, 2.284756224264216}
{-89.19600256010618, -2.284694287639749}	{-89.19600256010612, 2.2846942876397462}
{-89.19625295354264, 2.2847062734073877}	{-89.19625295354143, -2.2847062734073313}
{-89.19445949399929, 2.2846232930460584}	{-89.19445949399902, -2.2846232930460464}
{-89.19595416396281, -2.284690188004291}	{-89.19595416396274, 2.28469018800429}
{-89.19610065109258, 2.2846965341909784}	{-89.19610065109237, -2.2846965341909686}
{-89.1943634300207, 2.284623636325284}	{-89.19436343002015, -2.284623636325261}
{-89.19599821880911, 2.284690122078713}	{-89.19599821880836, -2.2846901220786826}
{-89.19456008554262, 2.284633404767573}	{-89.19456008554195, -2.2846334047675465}
{-89.19405091021866, 2.284613921680456}	{-89.19405091021828, -2.2846139216804415}
{-89.1947374935138, 2.2846394232710847}	{-89.19473749351363, -2.2846394232710776}
{-89.19187167261163, 2.2845360523599014}	{-89.19187167261049, -2.2845360523598623}
{-89.19551785190254, 2.2846638266664927}	{-89.19551785190241, -2.284663826666488}
{-89.19307402158971, 2.284580593254539}	{-89.19307402158935, -2.2845805932545273}
{-89.19248223142127, 2.2845609974664347}	{-89.19248223142044, -2.284560997466407}
{-89.19075317923776, -2.2845053160912046}	{-89.19075317923703, 2.2845053160911806}
{-89.19163187610602, -2.2845328441136523}	{-89.19163187610565, 2.2845328441136403}
{-89.19387654574112, 2.2846012732393164}	{-89.19387654573885, -2.2846012732392476}
{-89.19037608225321, -2.284497409800729}	{-89.1903760822525, 2.284497409800708}
{-89.19021919791575, 2.284492878198096}	{-89.19021919791487, -2.284492878198071}
{-89.19087075617271, 2.284511203239094}	{-89.19087075617253, -2.2845112032390893}
{-89.19223473085901, -2.2845485615426475}	{-89.19223473085867, 2.2845485615426386}
{-89.18882012354915, 2.2844574737834087}	{-89.18882012354723, -2.284457473783357}
{-89.18676095160653, 2.2844039694731824}	{-89.18676095160647, -2.2844039694731806}
{-89.18777657433893, 2.2844296761580334}	{-89.18777657433866, -2.284429676158027}
{-89.18829556966574, -2.2844424735365965}	{-89.18829556966425, 2.284442473536561}
{-89.1885154224002, -2.284447754851812}	{-89.18851542239965, 2.284447754851797}
{-89.18810392412435, -2.2844381248288625}	{-89.18810392412387, 2.284438124828852}
{-89.18618152874281, 2.2843942987446555}	{-89.18618152874176, -2.2843942987446324}
{-89.18130567114044, 2.284286021980504}	{-89.18130567113933, -2.2842860219804786}
{-89.18836625784033, 2.2844387430271795}	{-89.18836625783992, -2.2844387430271706}
{-89.18317062888012, 2.284329292911414}	{-89.18317062887795, -2.2843292929113694}
{-89.17987579750984, 2.284261709512069}	{-89.17987579750961, -2.2842617095120645}
{-89.18187552968352, 2.28430164339042}	{-89.18187552968331, -2.2843016433904166}
{-89.18636230001174, 2.2843888576468294}	{-89.1863623000108, -2.284388857646811}
{-89.17703643472302, 2.2842124637775005}	{-89.17703643472223, -2.2842124637774863}
{-89.18180110105325, -2.284300130585641}	{-89.18180110105293, 2.284300130585635}
{-89.17732401323283, -2.284220024182474}	{-89.17732401322928, 2.2842200241824115}
{-89.17905316813759, 2.284250098345834}	{-89.17905316813669, -2.2842500983458196}
{-89.17562539636432, -2.2841921731745343}	{-89.1756253963621, 2.284192173174496}
{-89.18316163908565, 2.2843158546854476}	{-89.18316163908558, -2.284315854685446}
{-89.17516899193538, 2.28418854084109}	{-89.17516899193389, -2.2841885408410674}
{-89.16744153029613, 2.284069160651557}	{-89.16744153029376, -2.284069160651521}
{-89.1769843951446, -2.2842120616193853}	{-89.17698439514366, 2.2842120616193693}
{-89.17580802675178, 2.2841949991190673}	{-89.17580802674888, -2.284194999119026}
{-89.16495301461863, -2.284042657842975}	{-89.16495301461639, 2.2840426578429436}
{-89.16921088453957, -2.2841004223297285}	{-89.16921088453684, 2.2841004223296912}
{-89.17485210265788, 2.2841743341773943}	{-89.17485210265488, -2.2841743341773566}
{-89.16719106917598, -2.2840775235222384}	{-89.1671910691758, 2.2840775235222357}
{-89.16336735286923, 2.2840309885593943}	{-89.16336735286761, -2.284030988559374}
{-89.16486921026303, -2.284048565933115}	{-89.16486921026043, 2.2840485659330874}
{-89.16485695832927, -2.2840484282657485}	{-89.16485695832719, 2.284048428265725}
{-89.16448823638595, 2.2840444584322834}	{-89.16448823638126, -2.284044458432233}
{-89.16491402154102, 2.284048841272592}	{-89.16491402153943, -2.2840488412725755}
{-89.1588484872304, -2.2839893024421674}	{-89.15884848722753, 2.283989302442138}
{-89.1556677734258, -2.283959616840946}	{-89.15566777342339, 2.2839596168409244}
{-89.15646973831818, -2.283966710523519}	{-89.15646973831667, 2.283966710523507}
{-89.16230864149121, -2.2840154798942365}	{-89.16230864148937, 2.2840154798942214}
{-89.14890547214378, 2.283910269388237}	{-89.14890547214142, -2.283910269388219}
{-89.15904584345458, -2.283984687002069}	{-89.15904584344969, 2.283984687002035}
{-89.15191527818914, 2.283936065131969}	{-89.1519152781886, -2.2839360651319636}
{-89.15329035589089, -2.283944708907903}	{-89.15329035589085, 2.2839447089079026}
{-89.14749667875328, 2.2839114493578214}	{-89.14749667874962, -2.283911449357801}
{-89.15171956133585, 2.283933330250178}	{-89.1517195613342, -2.2839333302501688}
{-89.14241627863375, 2.283890483591886}	{-89.14241627863177, -2.2838904835918763}
{-89.14445901220067, 2.283898677301352}	{-89.14445901219956, -2.283898677301349}
{-89.15049528535965, 2.2839192009315434}	{-89.15049528535842, -2.2839192009315394}
{-89.13798907658547, -2.2838846433722457}	{-89.13798907658327, 2.283884643372239}
{-89.14604601576568, -2.283901578290656}	{-89.14604601576312, 2.283901578290654}
{-89.13754417420019, 2.283889560658591}	{-89.1375441742, -2.283889560658591}
{-89.14278686098467, -2.2838931949048398}	{-89.14278686098379, 2.283893194904834}
{-89.1405762525236, 2.2838933282708327}	{-89.14057625252615, -2.283893328270832}
{-89.13877873265896, 2.2838948658002636}	{-89.13877873266047, -2.2838948658002627}
{-89.13129772148535, -2.2839075591273383}	{-89.13129772148731, 2.2839075591273374}
{-89.13849318665505, 2.2838889604283352}	{-89.13849318665663, -2.2838889604283286}
{-89.1349230476091, 2.2839015549462793}	{-89.13492304760948, -2.2839015549462784}
{-89.13397316046975, 2.2839058659613287}	{-89.13397316047258, -2.283905865961317}
{-89.13018682382146, 2.2839271561896837}	{-89.1301868238243, -2.283927156189665}
{-89.13544252386924, 2.2838914809850865}	{-89.13544252387022, -2.2838914809850794}
{-89.1281808194605, 2.2839499525543774}	{-89.12818081946047, -2.283949952554377}
{-89.1303538472884, -2.283929459461581}	{-89.13035384728889, 2.283929459461578}
{-89.12706110927786, -2.283965474682299}	{-89.12706110927944, 2.28396547468228}
{-89.12845765601968, -2.283947878787164}	{-89.1284576560226, 2.283947878787127}
{-89.13015018797299, 2.2839234412180116}	{-89.13015018797317, -2.2839234412180054}
{-89.128512661136, 2.2839504588112742}	{-89.12851266113726, -2.2839504588112516}
{-89.12443026833446, 2.284027344244992}	{-89.12443026833479, -2.2840273442449863}
{-89.12561942286287, 2.284001791026432}	{-89.12561942286402, -2.2840017910264048}
{-89.12523955151592, 2.284011112823994}	{-89.12523955151616, -2.284011112823985}
{-89.12683420348077, -2.2839663093879645}	{-89.12683420348156, 2.2839663093879383}
{-89.12506362232966, 2.284023520732924}	{-89.12506362233036, -2.284023520732904}
{-89.123325795437, -2.2840885315701316}	{-89.12332579543748, 2.2840885315701134}
{-89.12405637011499, 2.2840566288238575}	{-89.12405637011503, -2.284056628823848}
{-89.12323092465338, -2.284099194155876}	{-89.12323092465331, 2.2840991941558695}
{-89.12469374985717, 2.284008706551415}	{-89.1246937498575, -2.2840087065513797}
{-89.12262056327701, -2.284166086231634}	{-89.12262056327695, 2.2841660862316306}
{-89.12386297816012, 2.2840465442861353}	{-89.1238629781602, -2.284046544286115}
{-89.12305326933905, -2.28415031667423}	{-89.12305326933915, 2.2841503166742108}
{-89.12311166946884, -2.2841394439470717}	{-89.12311166946894, 2.284139443947056}
{-89.12289864086806, -2.28420842180619}	{-89.1228986408684, 2.2842084218060186}
{-89.12298862606728, -2.2841126424401867}	{-89.12298862606725, 2.2841126424401454}
{-89.12316633374876, 2.2842748906603343}	{-89.12316633374867, -2.2842748906602455}
{-89.1229783693941, 2.2842127665587424}	{-89.12297836939398, -2.284212766558734}
{-89.12311884603268, -2.2842416935962335}	{-89.12311884603227, 2.284241693596166}
{-89.12292819202804, 2.2842128134534936}	{-89.12292819202752, -2.284212813453427}
{-89.12289241936287, 2.284208486547631}	{-89.12289241936286, -2.284208486547627}
{-89.12386992538028, -2.284307577699506}	{-89.12386992537839, 2.2843075776993347}
{-89.1230028090165, 2.284231480028389}	{-89.12300280901471, -2.2842314800282284}
{-89.12380633716633, -2.2842939437066567}	{-89.12380633716614, 2.284293943706641}
{-89.12424378697342, 2.284324577811872}	{-89.12424378697332, -2.284324577811863}
{-89.12526539715743, 2.2843898784803987}	{-89.12526539715698, -2.2843898784803724}
{-89.12396598572339, 2.284313266172077}	{-89.12396598572255, -2.2843132661720253}
{-89.12538834508922, -2.2843912732487506}	{-89.12538834508868, 2.284391273248725}
{-89.12389573156474, 2.284314596710358}	{-89.12389573155363, -2.2843145967100824}
{-89.12737887733256, 2.28448316877659}	{-89.12737887733029, -2.28448316877649}
{-89.12422355958074, 2.2843385841922994}	{-89.12422355957905, -2.2843385841922266}
{-89.1279230615801, 2.284499772836266}	{-89.12792306157817, -2.284499772836182}
{-89.12536325486698, -2.284393334243896}	{-89.12536325486317, 2.2843933342437386}
{-89.12502239362507, -2.284379763728083}	{-89.1250223936226, 2.2843797637279835}
{-89.1296809441873, 2.2845578287675576}	{-89.12968094418677, -2.28455782876754}
{-89.1266974991827, -2.2844480651387835}	{-89.12669749918199, 2.2844480651387586}
{-89.12730585562142, -2.2844696575498653}	{-89.12730585561877, 2.2844696575497747}
{-89.12666206102254, -2.2844475698950513}	{-89.12666206102105, 2.2844475698950037}
{-89.12880873951028, 2.284518888942558}	{-89.12880873950625, -2.2845188889424257}
{-89.13044973359845, -2.284571767869923}	{-89.13044973359678, 2.284571767869871}
{-89.13062101314078, -2.2845771291328933}	{-89.13062101313795, 2.284577129132807}
{-89.12720419827808, 2.284473097301328}	{-89.12720419827805, -2.2844730973013267}
{-89.13008555676508, -2.2845585358954197}	{-89.130085556763, 2.2845585358953624}
{-89.13352332343169, 2.284657921468943}	{-89.13352332342797, -2.2846579214688383}
{-89.12981113726772, 2.2845531770914524}	{-89.12981113726713, -2.2845531770914382}
{-89.13243956117131, 2.2846256321870113}	{-89.1324395611707, -2.2846256321869967}
{-89.13048820281925, -2.28457303457822}	{-89.13048820281867, 2.284573034578207}
{-89.13265077326818, -2.2846300790357326}	{-89.13265077326533, 2.284630079035659}
{-89.13134244344752, 2.2845962798284494}	{-89.13134244344731, -2.2845962798284427}
{-89.13174651630115, 2.284606510562773}	{-89.13174651629609, -2.2846065105626465}
{-89.13502534596687, -2.2846879265348026}	{-89.13502534596475, 2.2846879265347524}
{-89.13212384587482, 2.2846172247685854}	{-89.13212384586842, -2.284617224768432}
{-89.13660817060557, 2.2847245186475234}	{-89.13660817060348, -2.2847245186474727}
{-89.13445698841643, -2.284673952128277}	{-89.13445698841443, 2.2846739521282307}	{-89.13445698841244, -2.284673952128181}
{-89.13402174429298, -2.284663895478443}	{-89.13402174428643, 2.284663895478295}
{-89.13568513276546, -2.284701692527485}	{-89.13568513275955, 2.2847016925273507}
{-89.13573296532239, 2.28470276190368}	{-89.13573296531476, -2.2847027619035085}
{-89.1363000608421, -2.284715241321286}	{-89.1363000608398, 2.284715241321237}
{-89.13664148407837, -2.2847226397615072}	{-89.13664148407136, 2.284722639761355}
