{-77.43141288126147, 1.4634851983552402}	{-77.43141288126138, -1.463485198355235}
{-77.43166550974829, 1.463501773500485}	{-77.43166550974819, -1.4635017735004792}
{-77.43093836498208, -1.463456546954622}	{-77.43093836498177, 1.4634565469546035}
{-77.4317490966862, 1.4635044588315964}	{-77.4317490966861, -1.4635044588315915}
{-77.43132269180519, -1.463480465879438}	{-77.43132269180515, 1.463480465879437}
{-77.43158974012923, -1.4634947999429988}	{-77.43158974012913, 1.4634947999429937}
{-77.43079670310951, 1.4634541237814065}	{-77.43079670310921, -1.4634541237813905}
{-77.43115315625553, -1.4634716223165434}	{-77.43115315625543, 1.4634716223165383}
{-77.4303724718169, 1.4634348893194657}	{-77.4303724718169, -1.4634348893194646}
{-77.43101473674422, 1.4634638931897204}	{-77.43101473674406, -1.4634638931897135}
{-77.43186935359543, 1.463500979083334}	{-77.4318693535954, -1.4635009790833342}
{-77.43049826430224, 1.4634437402364724}	{-77.43049826430189, -1.4634437402364582}
{-77.43024083326706, 1.463433390487242}	{-77.43024083326699, -1.463433390487239}
{-77.42986906986194, 1.4634189824952333}	{-77.42986906986191, -1.4634189824952326}
{-77.43115713260426, 1.4634671480735377}	{-77.43115713260423, -1.4634671480735357}
{-77.42952623865055, 1.4634082566903914}	{-77.42952623865001, -1.4634082566903717}
{-77.42905861578889, 1.4633919380043052}	{-77.42905861578824, -1.4633919380042826}
{-77.4307747525636, 1.4634498576985957}	{-77.4307747525634, -1.4634498576985888}
{-77.42928048102637, 1.4634010508112412}	{-77.42928048102625, -1.4634010508112365}
{-77.43060031555758, -1.4634427974832478}	{-77.430600315557, 1.4634427974832294}
{-77.42950944600834, 1.4634093639997805}	{-77.42950944600717, -1.4634093639997454}
{-77.42793893759303, 1.463362699457588}	{-77.42793893759281, -1.4633626994575817}
{-77.43069494334728, -1.4634421311662358}	{-77.43069494334722, 1.4634421311662347}
{-77.42617730342857, 1.4633157766763452}	{-77.42617730342788, -1.4633157766763256}
{-77.42788660528478, -1.4633621909355188}	{-77.42788660528356, 1.4633621909354864}
{-77.42953041549282, -1.4634055448802987}	{-77.42953041549264, 1.4634055448802938}
{-77.42696546152963, -1.463339816420459}	{-77.42696546152942, 1.4633398164204539}
{-77.43074143441433, -1.4634338657244765}	{-77.43074143441385, 1.4634338657244643}
{-77.42821559111411, 1.463372697788195}	{-77.42821559111292, -1.463372697788167}
{-77.42564495684401, 1.463312155593409}	{-77.42564495684336, -1.4633121555933941}
{-77.42562765741677, 1.4633117592502152}	{-77.42562765741637, -1.4633117592502054}
{-77.42629983637399, 1.4633267443265063}	{-77.42629983637362, -1.4633267443264988}
{-77.43000237790802, -1.4634070806492152}	{-77.4300023779078, 1.4634070806492108}
{-77.42444089620584, -1.46328961657229}	{-77.42444089620574, 1.4632896165722888}
{-77.42588171701435, -1.4633192439229832}	{-77.42588171701345, 1.4633192439229645}
{-77.42645639219761, 1.4633307506908868}	{-77.42645639219637, -1.4633307506908622}
{-77.42244094150765, -1.4632524530847608}	{-77.4224409415073, 1.4632524530847548}
{-77.42625438278671, -1.4633248743747933}	{-77.42625438278667, 1.4633248743747918}
{-77.42297999486462, -1.4632643057185808}	{-77.422979994863, 1.463264305718552}
{-77.42532578212504, -1.4633065718070686}	{-77.425325782125, 1.4633065718070675}
{-77.42305436934818, -1.4632667061095}	{-77.42305436934811, 1.4632667061094986}
{-77.42339648639106, -1.4632725549821435}	{-77.42339648638975, 1.4632725549821215}
{-77.4214513319823, 1.463240163051239}	{-77.4214513319815, -1.4632401630512264}
{-77.4248842587482, 1.4632958460862013}	{-77.42488425874818, -1.4632958460862007}
{-77.42176733091345, -1.4632466053082234}	{-77.42176733091233, 1.463246605308206}
{-77.41966186559733, -1.4632142144055762}	{-77.41966186559682, 1.4632142144055684}
