{-69.97479172756181, -0.377355496545846}	{-69.9747917275617, 0.3773554965458253}
{-69.97488097216599, 0.3773733327933885}	{-69.97488097216598, -0.3773733327933879}
{-69.97446135331761, 0.3772963538192199}	{-69.9744613533176, -0.37729635381921306}
{-69.97473716892615, 0.3773430932449207}	{-69.97473716892597, -0.37734309324489257}
{-69.97519402213997, -0.37741498603610363}	{-69.97519402213992, 0.3774149860360948}
{-69.97426105068458, -0.3772779744833243}	{-69.97426105068456, 0.37727797448332134}
{-69.97478123569444, 0.3773495591804916}	{-69.97478123569441, -0.3773495591804872}
{-69.97474097573401, 0.37734434930720484}	{-69.9747409757338, -0.3773443493071787}
{-69.97509575679861, 0.37738766257498835}	{-69.97509575679848, -0.3773876625749733}
{-69.97422898743345, -0.3772875324569839}	{-69.97422898743272, 0.37728753245689944}
{-69.97501574554634, -0.37737375294744724}	{-69.9750157455461, 0.3773737529474216}
{-69.97402488023802, 0.3772704985757544}	{-69.97402488023792, -0.3772704985757433}
{-69.97541522821855, -0.3774085506990905}	{-69.97541522821845, 0.3774085506990808}
{-69.9734130790735, -0.37721874150371143}	{-69.97341307907334, 0.3772187415036984}
{-69.97540530268734, 0.3773993809433993}	{-69.97540530268702, -0.377399380943372}
{-69.97365118747057, 0.37724701991149884}	{-69.97365118747034, -0.3772470199114796}
{-69.97421437649075, 0.3772939571577985}	{-69.97421437649072, -0.3772939571577856}	{-69.97421437649058, 0.37729395715777436}	{-69.97421437649044, -0.3772939571577738}
{-69.97584577169283, 0.37742456003534514}	{-69.97584577169211, -0.37742456003528885}
{-69.97397290611447, 0.3772803276609626}	{-69.97397290611428, -0.37728032766094804}
{-69.9737303759836, 0.3772623364327264}	{-69.97373037598354, -0.37726233643271995}
{-69.97370662549092, -0.3772606376889711}	{-69.97370662549072, 0.3772606376889581}
{-69.9742172248937, -0.37729588458154373}	{-69.97421722489364, 0.37729588458153807}
{-69.97522633326471, 0.37736317497397864}	{-69.97522633326462, -0.37736317497397237}
{-69.97346803568416, -0.3772497965375702}	{-69.97346803568395, 0.37724979653755725}
{-69.97368913415256, -0.37726359509143964}	{-69.97368913415237, 0.3772635950914264}	{-69.9736891341521, -0.3772635950914196}	{-69.97368913415184, 0.3772635950914054}
{-69.975044858871, -0.3773455350088127}	{-69.97504485887073, 0.3773455350087975}
{-69.97294353457147, -0.3772224323114155}	{-69.9729435345711, 0.3772224323113932}
{-69.9720709661609, -0.3771728441050574}	{-69.97207096616076, 0.3771728441050496}
{-69.97419887711574, -0.3772902068355994}	{-69.97419887711546, 0.37729020683558395}
{-69.97366368783284, -0.377261542481741}	{-69.97366368783229, 0.37726154248171295}
{-69.97543557830355, 0.37735375572114116}	{-69.97543557830296, -0.37735375572111163}
{-69.97290634639837, -0.377225775591919}	{-69.97290634639785, 0.3772257755918924}
{-69.97104049097737, -0.377133916008094}	{-69.97104049097722, 0.37713391600808566}
{-69.97551197369314, 0.3773481451785683}	{-69.97551197369295, -0.37734814517856}
{-69.97430821582648, 0.3772919971139157}	{-69.97430821582593, -0.3772919971138901}
{-69.97258285552715, 0.37721359232913365}	{-69.9725828555265, -0.3772135923291048}
{-69.9712542088727, -0.3771547457110538}	{-69.97125420887254, 0.37715474571104746}
{-69.97128934540737, -0.377156262981543}	{-69.97128934540717, 0.3771562629815345}
{-69.97370306175058, -0.37725790837628725}	{-69.97370306175016, 0.3772579083762699}
{-69.97405473265897, 0.37727235559576133}	{-69.97405473265869, -0.37727235559575056}
{-69.97291655123425, -0.3772267200658769}	{-69.97291655123414, 0.3772267200658723}
{-69.97089291118809, 0.3771474992928013}	{-69.97089291118783, -0.3771474992927915}
{-69.97468926323947, -0.3772926274171591}	{-69.97468926323891, 0.3772926274171384}
{-69.97300716757518, 0.37722981694877344}	{-69.97300716757455, -0.3772298169487514}
{-69.97244623292904, -0.37720934952173113}	{-69.97244623292681, 0.3772093495216505}
{-69.9670825003266, 0.3770180382853244}	{-69.96708250032566, -0.37701803828529123}
{-69.97765958603023, 0.37738679289017824}	{-69.97765958602966, -0.3773867928901594}
{-69.97085752152026, -0.3771549363455273}	{-69.97085752151999, 0.37715493634551717}
{-69.96750706891271, 0.3770432139851373}	{-69.96750706891184, -0.37704321398510826}
{-69.97590524121098, -0.37731712068936485}	{-69.97590524121065, 0.37731712068935486}
{-69.96684908265621, -0.3770281330423253}	{-69.96684908265502, 0.37702813304228805}
{-69.97092181635165, 0.3771553260569353}	{-69.97092181635163, -0.3771553260569363}
{-69.9734721682368, 0.3772332685462173}	{-69.97347216823516, -0.37723326854616834}
{-69.96653311817148, -0.37702566229230833}	{-69.96653311817073, 0.37702566229228557}
{-69.97534492970331, -0.3772837573094276}	{-69.97534492970175, 0.37728375730938163}
{-69.96662903097588, -0.37703379895909156}	{-69.96662903097574, 0.37703379895908745}
{-69.97524124684736, -0.3772756626004348}	{-69.97524124684703, 0.37727566260042594}
{-69.96622978566637, 0.37702780892991544}	{-69.9662297856661, -0.3770278089299088}
{-69.96682673608458, 0.37704389287240836}	{-69.96682673608446, -0.37704389287240503}
{-69.96528193201014, 0.37700312107926676}	{-69.96528193201013, -0.3770031210792664}
{-69.96685404177765, 0.3770221769032072}	{-69.96685404177641, -0.3770221769031942}
{-69.94799193020815, -0.37679943982309266}	{-69.947991930208, 0.3767994398230906}
{-69.95944227758791, -0.3769311061424098}	{-69.95944227758584, 0.3769311061423867}
{-69.9674909558079, 0.3770211954360632}	{-69.96749095580472, -0.3770211954360287}
{-69.95469649132222, -0.3768819066722792}	{-69.95469649132161, 0.3768819066722719}
{-69.95587860483624, -0.3768944145943312}	{-69.95587860483478, 0.37689441459431644}
{-69.95378826854405, 0.37687293091905744}	{-69.95378826854395, -0.376872930919057}
{-69.94847943471389, -0.37681997757510116}	{-69.94847943470981, 0.37681997757506175}
{-69.95796506247822, 0.3769117405042643}	{-69.95796506247481, -0.3769117405042307}
{-69.94657163850921, 0.37680494839181994}	{-69.9465716385084, -0.3768049483918122}
{-69.96845189133542, 0.37700350807093536}	{-69.96845189133086, -0.37700350807089533}
{-69.9514067390764, -0.37685391814298763}	{-69.9514067390734, 0.3768539181429605}
{-69.94981004906592, 0.37684038751282584}	{-69.94981004906244, -0.3768403875127968}
{-69.94565570323927, 0.37680642891992233}	{-69.94565570323569, -0.3768064289198942}
{-69.95747628001675, -0.37689953355651784}	{-69.95747628001449, 0.37689953355650085}

{-69.9559467225759, -0.37688573570295086}	{-69.95594672257371, 0.3768857357029344}
{-69.9426576096285, 0.3767930252038232}	{-69.9426576096278, -0.3767930252038176}
{-69.94587952996726, -0.3768145267129723}	{-69.94587952996694, 0.37681452671296956}
{-69.94722018053407, 0.37682307001985554}	{-69.94722018053291, -0.37682307001984844}
