{-124.70602203770233, -4.21539606149548}	{-124.7060220377021, 4.215396061495469}
{-124.70579928402918, -4.215386116140914}	{-124.7057992840273, 4.215386116140828}
{-124.70307026389689, -4.215266273050693}	{-124.70307026389516, 4.215266273050618}
{-124.70543010927793, -4.215368207874295}	{-124.70543010927787, 4.215368207874294}
{-124.70178622500312, 4.215213377767091}	{-124.70178622500211, -4.21521337776705}
{-124.7019422690319, -4.215219900124483}	{-124.70194226903182, 4.215219900124478}
{-124.69982453900819, 4.215132823021308}	{-124.69982453900698, -4.215132823021256}
{-124.70337182561394, -4.215276309285452}	{-124.70337182560968, 4.215276309285279}
{-124.69741390061816, -4.215039231551844}	{-124.69741390061533, 4.215039231551735}
{-124.69674889049325, -4.215013199934396}	{-124.69674889049196, 4.2150131999343445}
{-124.69948674136937, -4.215118626462581}	{-124.69948674136891, 4.2151186264625675}
{-124.69241741461168, -4.214850851285058}	{-124.69241741461077, 4.214850851285026}
{-124.69584492887499, 4.214978554795985}	{-124.69584492887337, -4.214978554795923}
{-124.69316610393939, -4.214880386056705}	{-124.69316610393506, 4.214880386056551}
{-124.69210438414767, -4.214842120266247}	{-124.6921043841445, 4.21484212026613}
{-124.68799123217947, 4.214696337024158}	{-124.68799123217673, -4.214696337024059}
{-124.69206888611728, -4.21483844881686}	{-124.69206888611552, 4.214838448816801}
{-124.68659605326353, -4.214650921351444}	{-124.68659605326212, 4.214650921351395}
{-124.68075863152936, 4.2144542950956705}	{-124.68075863152747, -4.2144542950956065}
{-124.68684084673802, -4.214655659933441}	{-124.68684084673697, 4.214655659933405}
{-124.68176707385689, 4.2144905871056215}	{-124.68176707385481, -4.214490587105553}
{-124.68381514549284, 4.214556053973882}	{-124.68381514549101, -4.2145560539738245}
{-124.67640905431364, 4.214323514725002}	{-124.67640905430919, -4.21432351472486}
{-124.68078282711535, 4.214458374940462}	{-124.68078282711497, -4.214458374940445}
{-124.67378572481444, -4.214246566864376}	{-124.67378572481087, 4.214246566864267}
{-124.67238118642118, -4.214204840267549}	{-124.67238118642015, 4.21420484026752}
{-124.67493543787397, 4.214279287973504}	{-124.6749354378713, -4.21427928797343}
{-124.66826530850648, -4.214088629036119}	{-124.6682653085057, 4.214088629036096}
{-124.66519202447255, -4.214002516116929}	{-124.66519202447121, 4.214002516116891}
{-124.65880026258054, -4.213827039136312}	{-124.65880026257996, 4.213827039136298}
{-124.67026004621006, 4.214135138912999}	{-124.67026004620571, -4.214135138912884}
{-124.66057600959294, -4.213880321980466}	{-124.66057600959135, 4.213880321980425}
{-124.64825594604542, -4.213563267948927}	{-124.64825594604532, 4.213563267948923}
{-124.66292648488991, 4.213932264426768}	{-124.6629264848847, -4.213932264426632}
{-124.65126229663448, 4.2136457576054225}	{-124.65126229663362, -4.213645757605402}
{-124.6513189014978, 4.213647114128257}	{-124.65131890149425, -4.213647114128175}
{-124.63869182487063, -4.213352180022611}	{-124.63869182486792, 4.213352180022554}
{-124.65170443886086, 4.213648087965376}	{-124.65170443885295, -4.213648087965195}
{-124.6434837185504, 4.213466318646894}	{-124.6434837185494, -4.2134663186468675}
{-124.62980586166071, 4.213172706597848}	{-124.62980586165104, -4.2131727065976445}
{-124.63754737923993, 4.213333783638995}	{-124.63754737923486, -4.2133337836388955}
{-124.63977585662457, -4.2133786456264}	{-124.639775856613, 4.213378645626159}
{-124.63022686211693, 4.213193070728933}	{-124.63022686211491, -4.213193070728898}
{-124.62382104063607, -4.213073197480775}	{-124.62382104063113, 4.213073197480684}
{-124.62469694848839, -4.213088935575576}	{-124.62469694848336, 4.213088935575484}
{-124.62617807560304, -4.21311440245764}	{-124.6261780755949, 4.21311440245751}
{-124.61104376787848, 4.212866408839015}	{-124.6110437678777, -4.212866408839005}
{-124.62383272050212, -4.213065179716703}	{-124.62383272050019, 4.213065179716674}
{-124.60687051333964, -4.212816578679667}	{-124.60687051333349, 4.212816578679582}
{-124.61313510217876, 4.2129025357721535}	{-124.61313510217221, -4.212902535772057}
{-124.60622038165933, 4.212814492803098}	{-124.60622038165037, -4.212814492802986}
{-124.60801821528528, 4.212835492931166}	{-124.6080182152797, -4.212835492931088}
{-124.60241636798548, 4.212776355571214}	{-124.60241636797389, -4.212776355571095}
{-124.59215507935454, -4.212680449849263}	{-124.59215507935018, 4.212680449849229}
{-124.59674331438886, 4.212717342003083}	{-124.59674331438677, -4.212717342003063}
{-124.60092823729883, 4.212745065264569}	{-124.60092823728891, -4.212745065264518}
{-124.59108309937176, -4.212695152056522}	{-124.59108309937288, 4.212695152056517}
{-124.58513109264733, 4.212675207474983}	{-124.585131092644, -4.212675207474979}
{-124.59146903865472, 4.212684367213393}	{-124.5914690386544, -4.212684367213382}
{-124.58395413172266, -4.212689592164916}	{-124.58395413172245, 4.212689592164902}
{-124.58431222400617, -4.212688472439124}	{-124.5843122240094, 4.212688472439096}
{-124.58145121574093, 4.212705397043114}	{-124.58145121574638, -4.2127053970430755}
{-124.58244966824955, -4.212696251439712}	{-124.58244966826005, 4.212696251439587}
{-124.578241945096, 4.212750939277254}	{-124.57824194509698, -4.212750939277249}
{-124.57962716845246, 4.212726534800468}	{-124.57962716845294, -4.212726534800465}
{-124.57484223937684, -4.212838085999799}	{-124.5748422393786, 4.212838085999759}
{-124.57647687044846, 4.2127881892097125}	{-124.57647687044913, -4.212788189209697}
{-124.57489058339668, 4.212851600486457}	{-124.57489058340065, -4.212851600486302}
{-124.57420262104912, 4.212888045455003}	{-124.57420262104944, -4.212888045454962}
{-124.57276262653495, 4.212991777511524}	{-124.57276262653649, -4.212991777511429}
{-124.57441556926591, 4.212822021792405}	{-124.5744155692661, -4.212822021792363}
{-124.57263273878635, -4.21310856310409}	{-124.57263273878681, 4.21310856310404}
{-124.57304922627154, 4.212978328190183}	{-124.57304922627172, -4.212978328190164}
{-124.57289845485434, 4.213245068339974}	{-124.5728984548541, -4.213245068339798}
{-124.57264645105424, 4.213101415185106}	{-124.57264645105514, -4.213101415185097}
{-124.57320614747454, 4.213248087680053}	{-124.57320614747232, -4.21324808767955}
{-124.57293362384024, 4.213200007175108}	{-124.57293362383979, -4.21320000717501}
{-124.57518632576539, -4.213506704309253}	{-124.57518632576092, 4.2135067043087515}
{-124.57432388645665, -4.2134094961749}	{-124.57432388645427, 4.213409496174658}
{-124.57264070816126, 4.213245569720602}	{-124.57264070815802, -4.213245569720274}
{-124.57673417857605, -4.213599732562834}	{-124.5767341785681, 4.213599732562198}
{-124.57705334406728, -4.21362475534398}	{-124.5770533440668, 4.213624755343924}
{-124.57756527729173, -4.213661672022049}	{-124.57756527728456, 4.2136616720215745}
{-124.57961581201971, 4.213799218927626}	{-124.5796158120156, -4.213799218927339}
{-124.57659801136383, 4.213609226338903}	{-124.5765980113619, -4.213609226338753}
{-124.58183233296391, 4.213920718080032}	{-124.58183233295894, -4.213920718079737}
{-124.58321605855176, 4.213999004766674}	{-124.58321605854431, -4.213999004766262}
{-124.58088616811585, 4.213873062090358}	{-124.58088616810883, -4.213873062089983}
{-124.58464892914823, -4.214068183144735}	{-124.58464892913277, 4.214068183143944}
{-124.5838558962649, -4.21402859647451}	{-124.58385589626332, 4.214028596474433}
{-124.5879589724269, -4.214226348911068}	{-124.58795897242297, 4.214226348910886}
{-124.58399641486696, -4.214041477533026}	{-124.58399641486446, 4.214041477532906}
{-124.59179738820228, -4.214394575200719}	{-124.59179738819628, 4.214394575200447}
{-124.58984793074757, 4.214308798945819}	{-124.58984793074252, -4.214308798945602}
{-124.59068495793406, -4.214344663977635}	{-124.59068495792731, 4.214344663977357}
{-124.59337020912936, 4.214456882022176}	{-124.59337020912828, -4.21445688202214}
{-124.59513729401594, -4.2145290066520085}	{-124.59513729401117, 4.214529006651814}
{-124.59110207062355, -4.2143679456419125}	{-124.59110207061879, 4.214367945641725}
{-124.5989012239615, 4.214672699503996}	{-124.59890122395676, -4.214672699503819}
{-124.60100802485267, -4.214753375011106}	{-124.60100802483409, 4.214753375010402}
{-124.60193915763571, -4.214788349672286}	{-124.60193915763342, 4.214788349672204}
{-124.59505733921426, -4.214534579907707}	{-124.59505733920803, 4.214534579907474}
{-124.60594163413442, -4.214928910887201}	{-124.60594163412387, 4.214928910886824}
{-124.60126771855377, 4.2147624271211095}	{-124.60126771855354, -4.214762427121097}
{-124.60924335952056, -4.215041920416988}	{-124.60924335951267, 4.215041920416709}
{-124.60745007429266, -4.214980057546533}	{-124.6074500742823, 4.214980057546186}
{-124.60315901427182, 4.2148342550607625}	{-124.60315901427116, -4.214834255060737}
{-124.61321983231403, -4.215171134069241}	{-124.6132198323116, 4.215171134069147}
{-124.60970891162496, -4.215055226947828}	{-124.60970891161513, 4.2150552269475074}
{-124.61345225113793, 4.215177123542097}	{-124.6134522511266, -4.215177123541726}
{-124.61195278455224, 4.215128940652627}	{-124.61195278453887, -4.2151289406522086}
{-124.61365453368, -4.215182922087411}	{-124.6136545336618, 4.21518292208683}
{-124.61646318202564, -4.215270904763434}	{-124.61646318201204, 4.215270904763015}
{-124.61595874764545, 4.215255294719001}	{-124.61595874763672, -4.215255294718736}
