{-72.55972693479885, 0.9120319500226014}	{-72.5597269347988, -0.9120319500225987}
{-72.56009527334878, 0.912065560143777}	{-72.56009527334871, -0.9120655601437688}
{-72.55971833131883, 0.9120334697215419}	{-72.55971833131882, -0.9120334697215412}
{-72.56017400855512, -0.9120698117633562}	{-72.56017400855477, 0.9120698117633272}
{-72.55988646383379, -0.9120482507595514}	{-72.55988646383345, 0.9120482507595274}
{-72.55961069493512, 0.9120287472791919}	{-72.559610694935, -0.9120287472791835}
{-72.55967472137928, 0.9120330304473853}	{-72.55967472137917, -0.912033030447378}
{-72.55982860207669, 0.9120427924386165}	{-72.5598286020765, -0.9120427924386034}
{-72.5589076479419, -0.911987259844749}	{-72.5589076479417, 0.9119872598447378}
{-72.55994975838166, 0.9120471129928753}	{-72.55994975838131, -0.9120471129928569}
{-72.56007420922408, -0.9120539341677486}	{-72.56007420922404, 0.9120539341677467}
{-72.55978270550567, -0.9120386601236318}	{-72.55978270550534, 0.9120386601236152}
{-72.55806816802868, -0.911952639539846}	{-72.55806816802851, 0.9119526395398377}
{-72.55948626534283, -0.9120208644269852}	{-72.55948626534261, 0.9120208644269763}
{-72.56063450484069, -0.9120739082779629}	{-72.56063450484048, 0.9120739082779531}
{-72.55921841297517, -0.9120110147659266}	{-72.55921841297517, 0.9120110147659264}
{-72.55918574127094, -0.9120096180667353}	{-72.55918574127043, 0.9120096180667144}	{-72.55918574127041, -0.9120096180667132}	{-72.55918574127004, 0.9120096180666974}
{-72.55786880544174, 0.911955370639876}	{-72.55786880544149, -0.9119553706398663}
{-72.56016631033351, 0.9120466535409683}	{-72.56016631033332, -0.9120466535409603}
{-72.55667761466023, 0.9119128344725287}	{-72.55667761466022, -0.9119128344725275}
{-72.56085366914387, -0.9120676172874475}	{-72.56085366914338, 0.9120676172874297}
{-72.55872709778554, -0.9119913935730994}	{-72.5587270977855, 0.9119913935730979}
{-72.55839996806564, -0.9119800457726129}	{-72.55839996806534, 0.9119800457726022}
{-72.5572972104635, -0.9119429979789009}	{-72.55729721046318, 0.9119429979788903}
{-72.55817565640989, -0.9119715987916869}	{-72.55817565640972, -0.9119715987916812}	{-72.55817565640967, 0.9119715987916797}	{-72.55817565640932, 0.9119715987916687}
{-72.55738488995475, -0.9119466319450941}	{-72.55738488995422, 0.9119466319450771}
{-72.56056687120049, 0.9120441135304257}	{-72.56056687119991, -0.9120441135304087}
{-72.55614639093464, -0.9119126403525689}	{-72.55614639093437, 0.9119126403525605}
{-72.56021582851221, -0.9120302034605665}	{-72.56021582851199, 0.9120302034605595}
{-72.55630132686375, 0.9119203049514198}	{-72.55630132686335, -0.911920304951409}
{-72.5574334433967, -0.9119512063837721}	{-72.55743344339578, 0.9119512063837473}
{-72.55749540159894, -0.9119528513213758}	{-72.5574954015985, 0.9119528513213643}
{-72.55796692782425, 0.9119650325773235}	{-72.55796692782388, -0.9119650325773142}
{-72.55585034546613, 0.9119118076089503}	{-72.55585034546569, -0.9119118076089389}
{-72.55701532913253, 0.9119403340627641}	{-72.55701532913241, -0.9119403340627618}
{-72.5582735653347, 0.9119703454770208}	{-72.55827356533442, -0.9119703454770142}
{-72.55583250601417, -0.9119136139760077}	{-72.55583250601354, 0.9119136139759936}
{-72.55576274090171, 0.9119120337215478}	{-72.55576274090032, -0.9119120337215167}
{-72.55945780011862, -0.9119936320389419}	{-72.55945780011851, 0.9119936320389392}
{-72.55157203222505, -0.9118238220297098}	{-72.55157203222393, 0.9118238220296856}
{-72.56092397263374, -0.9120202454016781}	{-72.56092397263346, 0.9120202454016721}
{-72.55436856744382, -0.9118859208290367}	{-72.55436856744343, 0.9118859208290293}
{-72.55593672211202, 0.9119172734768538}	{-72.55593672211153, -0.9119172734768437}
{-72.55462019394075, -0.9118915853278347}	{-72.5546201939396, 0.9118915853278121}
{-72.55102016606831, -0.9118230237899081}	{-72.55102016606769, 0.911823023789896}
{-72.55917066853625, -0.9119745603695376}	{-72.55917066853546, 0.911974560369523}
{-72.55329790478808, -0.9118679545403509}	{-72.5532979047866, 0.9118679545403243}
{-72.5542127932618, 0.9118841703768531}	{-72.55421279326175, -0.9118841703768524}
{-72.55593607872312, -0.9119139982574285}	{-72.55593607872272, 0.9119139982574218}
{-72.5517668429207, -0.9118435235042096}	{-72.5517668429203, 0.9118435235042027}
{-72.54956379849999, -0.9118071549007305}	{-72.54956379849996, 0.9118071549007295}
{-72.5579683896495, -0.9119426751460269}	{-72.55796838964912, 0.9119426751460208}
{-72.54626743629781, -0.9117583966385798}	{-72.54626743629746, 0.9117583966385743}
