{-71.04738693528948, 0.6586216901879238}	{-71.0473869352893, -0.6586216901879007}
{-71.04769843981592, 0.6586589228899612}	{-71.04769843981585, -0.6586589228899544}
{-71.04752650651976, 0.6586399037502952}	{-71.04752650651972, -0.6586399037502907}
{-71.04721785000913, 0.6586081401402436}	{-71.04721785000899, -0.6586081401402304}
{-71.04746449126323, 0.6586318582204113}	{-71.04746449126321, -0.6586318582204093}
{-71.0473542205886, -0.6586219102781146}	{-71.04735422058859, 0.6586219102781123}
{-71.0479247373818, 0.6586703613427801}	{-71.04792473738179, -0.6586703613427783}
{-71.04684915291844, 0.6585841045965938}	{-71.04684915291843, -0.6585841045965927}
{-71.04807816688283, -0.6586774326596962}	{-71.04807816688282, 0.6586774326596943}
{-71.0468409787947, -0.6585882508428444}	{-71.04684097879463, 0.6585882508428401}
{-71.04673592765256, -0.6585810461009871}	{-71.04673592765243, 0.6585810461009782}
{-71.0476219940024, -0.658638979180662}	{-71.04762199400236, 0.6586389791806592}
{-71.04782547457928, -0.6586516858544388}	{-71.04782547457916, 0.6586516858544311}
{-71.0460563159391, -0.6585459833141071}	{-71.04605631593887, 0.6585459833140942}
{-71.04750641870758, 0.6586290064398512}	{-71.0475064187073, -0.6586290064398341}
{-71.04634432386739, 0.6585651590128817}	{-71.04634432386717, -0.6585651590128713}
{-71.04762653300817, -0.6586328519277114}	{-71.04762653300786, 0.6586328519276956}
{-71.0463149991165, -0.658566235530675}	{-71.04631499911649, 0.6585662355306727}
{-71.04632923844065, -0.6585669321775759}	{-71.04632923844036, 0.6585669321775618}
{-71.04716191655285, -0.65860621234971}	{-71.04716191655282, 0.658606212349709}
{-71.04753199870062, -0.6586230621984}	{-71.04753199869974, 0.6586230621983606}
{-71.04532908255761, -0.6585261649756259}	{-71.04532908255752, 0.6585261649756218}
{-71.04861781547238, -0.6586660345306304}	{-71.0486178154723, 0.6586660345306273}
{-71.04639186705941, 0.6585744250323855}	{-71.04639186705874, -0.658574425032358}
{-71.04638627326513, 0.6585742020840585}	{-71.046386273265, -0.6585742020840541}	{-71.04638627326487, 0.6585742020840483}	{-71.04638627326479, -0.6585742020840454}
{-71.04480527526414, -0.658513134955324}	{-71.04480527526333, 0.6585131349552936}
{-71.04688585337645, 0.6585910684077795}	{-71.04688585337637, -0.658591068407777}
{-71.04455673111481, 0.6585064101216139}	{-71.04455673111477, -0.6585064101216125}
{-71.04636515347408, -0.6585702324902297}	{-71.04636515347397, 0.6585702324902266}
{-71.04689622799617, 0.6585884403715541}	{-71.04689622799548, -0.6585884403715307}
{-71.04755715916585, -0.6586104656482537}	{-71.04755715916565, 0.6586104656482468}
{-71.04569334353175, -0.6585500641544321}	{-71.04569334353151, 0.6585500641544245}
{-71.04239554145049, -0.6584460824044548}	{-71.04239554145038, 0.6584460824044517}
{-71.04777831124075, -0.6586112815148836}	{-71.04777831124045, 0.6586112815148737}
{-71.04545523396408, 0.6585418571443442}	{-71.04545523396366, -0.6585418571443319}
{-71.04536845051477, -0.6585393307101078}	{-71.04536845051418, 0.6585393307100909}
{-71.04387062023412, 0.6584968379569762}	{-71.04387062023383, -0.6584968379569688}
{-71.0470331563275, -0.658584299551928}	{-71.04703315632746, 0.658584299551927}
{-71.0456157083595, 0.6585460734917223}	{-71.04561570835922, -0.6585460734917148}
{-71.04009001310095, 0.6584007126781533}	{-71.04009001310094, -0.6584007126781528}
{-71.04811671016122, -0.658606741600531}	{-71.04811671016053, 0.6586067416005136}
{-71.04233586690502, -0.6584619214678269}	{-71.04233586690405, 0.6584619214678028}
{-71.04660910209478, -0.6585664304282403}	{-71.04660910209265, 0.6585664304281894}
{-71.04381055466419, -0.65849959756546}	{-71.04381055466314, 0.6584995975654354}
{-71.04050691270149, 0.6584225415239003}	{-71.04050691270056, -0.6584225415238791}
{-71.04403942666592, -0.658503032121908}	{-71.04403942666548, 0.6585030321218989}
{-71.04197071045769, -0.6584569754607141}	{-71.04197071045613, 0.6584569754606797}
{-71.04857558686658, -0.6586006785008657}	{-71.0485755868665, 0.6586006785008639}
{-71.04345418190093, -0.6584917684150521}	{-71.0434541819007, 0.6584917684150475}
{-71.04113570807755, -0.6584435715867871}	{-71.04113570807755, 0.658443571586787}
{-71.04243797636043, -0.6584700393734597}	{-71.04243797635993, 0.6584700393734495}
{-71.04035862014175, 0.6584287156063672}	{-71.0403586201414, -0.6584287156063594}
{-71.04322186277257, 0.6584843614384527}	{-71.04322186277076, -0.6584843614384182}
{-71.04366775468857, -0.6584928366806108}	{-71.04366775468812, 0.6584928366806031}
{-71.04201045773675, 0.6584620259443605}	{-71.0420104577365, -0.6584620259443557}
{-71.03857951005415, 0.6583996351215303}	{-71.03857951005322, -0.658399635121514}
{-71.04258190673328, -0.6584708327276525}	{-71.04258190673308, 0.6584708327276493}
{-71.04591959161588, 0.6585289171339337}	{-71.04591959161586, -0.6585289171339334}
{-71.03970116996211, 0.6584230500105723}	{-71.039701169962, -0.6584230500105699}
{-71.03318222903302, -0.6583144783977806}	{-71.03318222903256, 0.6583144783977732}
{-71.04613132079747, 0.6585254753917611}	{-71.04613132079689, -0.658525475391752}
{-71.04064362943232, -0.6584379924804927}	{-71.04064362943167, 0.658437992480483}
{-71.03610748983553, 0.6583672511102653}	{-71.03610748983539, -0.6583672511102628}
{-71.04326067526912, 0.6584763835843971}	{-71.0432606752677, -0.6584763835843754}
{-71.03166769508704, 0.6583033701456945}	{-71.03166769508613, -0.6583033701456807}
{-71.04338185280325, -0.6584743768579548}	{-71.04338185280143, 0.6584743768579288}
{-71.03647409627716, 0.6583757409584442}	{-71.03647409627682, -0.6583757409584392}
{-71.04352720854142, 0.6584742386681215}	{-71.04352720854112, -0.6584742386681169}
{-71.03171896514164, 0.6583129819251093}	{-71.03171896513982, -0.6583129819250846}
{-71.0348520781781, 0.658354816318203}	{-71.03485207817693, -0.6583548163181868}
{-71.04232916770658, -0.6584524308692913}	{-71.04232916770539, 0.6584524308692757}
{-71.03086735406698, 0.6583061635052326}	{-71.03086735406623, -0.6583061635052231}
{-71.03606302540712, 0.6583709623845555}	{-71.03606302540702, -0.6583709623845545}
